window_index,time_s,window_start_s,window_end_s,reference_bpm,reference_valid,estimated_bpm,accepted,error_bpm,abs_error_bpm,status,V25_bpm,V25_accepted,common,new,lost,V26_harmonic_bpm,V26_harmonic_accepted,V26_conservative_bpm,V26_conservative_accepted
21,25.999974,20.999979,30.999969,106.6,True,56.0,True,-50.599999999999994,50.599999999999994,candidate_only,56.0,True,True,False,False,55.0,True,56.0,True
22,26.999973,21.999978,31.999968,107.4,True,54.0,True,-53.400000000000006,53.400000000000006,candidate_only,54.0,True,True,False,False,54.0,True,54.0,True
23,27.999972,22.999977,32.999967,108.1,True,53.0,True,-55.099999999999994,55.099999999999994,candidate_only,53.0,True,True,False,False,54.0,True,53.0,True
24,28.999971,23.999976,33.999966,108.7,True,53.0,True,-55.7,55.7,candidate_only,53.0,True,True,False,False,54.0,True,53.0,True
25,29.99997,24.999975,34.999965,109.2,True,52.0,True,-57.2,57.2,candidate_only,52.0,True,True,False,False,53.0,True,52.0,True
26,30.999969,25.999974,35.999964,109.6,True,51.0,True,-58.599999999999994,58.599999999999994,candidate_only,51.0,True,True,False,False,52.0,True,51.0,True
27,31.999968,26.999973,36.999963,109.8,True,50.0,True,-59.8,59.8,candidate_only,50.0,True,True,False,False,51.0,True,50.0,True
28,32.999967,27.999972,37.999962,109.8,True,49.0,True,-60.8,60.8,candidate_only,49.0,True,True,False,False,50.0,True,49.0,True
29,33.999966,28.999971,38.999961,109.7,True,49.0,True,-60.7,60.7,candidate_only,49.0,True,True,False,False,49.0,True,49.0,True
30,34.999965,29.99997,39.99996,109.5,True,50.0,True,-59.5,59.5,candidate_only,50.0,True,True,False,False,50.0,True,50.0,True
31,35.999964,30.999969,40.999959,109.2,True,51.0,True,-58.2,58.2,candidate_only,51.0,True,True,False,False,51.0,True,51.0,True
32,36.999963,31.999968,41.999958,108.9,True,53.0,True,-55.900000000000006,55.900000000000006,candidate_only,53.0,True,True,False,False,53.0,True,53.0,True
33,37.999962,32.999967,42.999957,108.5,True,54.0,True,-54.5,54.5,candidate_only,54.0,True,True,False,False,54.0,True,54.0,True
34,38.999961,33.999966,43.999956,108.1,True,55.0,True,-53.099999999999994,53.099999999999994,candidate_only,55.0,True,True,False,False,55.0,True,55.0,True
35,39.99996,34.999965,44.999955,107.7,True,56.0,True,-51.7,51.7,candidate_only,56.0,True,True,False,False,56.0,True,56.0,True
36,40.999959,35.999964,45.999954,107.3,True,57.0,True,-50.3,50.3,candidate_only,57.0,True,True,False,False,57.0,True,57.0,True
37,41.999958,36.999963,46.999953,106.9,True,57.0,True,-49.900000000000006,49.900000000000006,candidate_only,57.0,True,True,False,False,58.0,True,57.0,True
38,42.999957,37.999962,47.999952,106.5,True,57.0,True,-49.5,49.5,candidate_only,57.0,True,True,False,False,59.0,True,57.0,True
39,43.999956,38.999961,48.999951,106.1,True,91.0,True,-15.099999999999994,15.099999999999994,candidate_only,91.0,True,True,False,False,60.0,True,91.0,True
40,44.999955,39.99996,49.99995,105.6,True,91.0,True,-14.599999999999994,14.599999999999994,candidate_only,91.0,True,True,False,False,61.0,True,91.0,True
41,45.999954,40.999959,50.999949,105.1,True,91.0,True,-14.099999999999994,14.099999999999994,candidate_only,91.0,True,True,False,False,62.0,True,91.0,True
42,46.999953,41.999958,51.999948,104.4,True,92.0,True,-12.400000000000006,12.400000000000006,candidate_only,92.0,True,True,False,False,63.0,True,92.0,True
43,47.999952,42.999957,52.999947,103.6,True,93.0,True,-10.599999999999994,10.599999999999994,candidate_only,93.0,True,True,False,False,64.0,True,93.0,True
44,48.999951,43.999956,53.999946,102.6,True,94.0,True,-8.599999999999994,8.599999999999994,candidate_only,94.0,True,True,False,False,65.0,True,94.0,True
45,49.99995,44.999955,54.999945,101.5,True,95.0,True,-6.5,6.5,candidate_only,95.0,True,True,False,False,66.0,True,95.0,True
46,50.999949,45.999954,55.999944,100.2,True,97.0,True,-3.200000000000003,3.200000000000003,candidate_only,97.0,True,True,False,False,67.0,True,97.0,True
47,51.999948,46.999953,56.999943,98.9,True,99.0,True,0.09999999999999432,0.09999999999999432,candidate_only,99.0,True,True,False,False,68.0,True,99.0,True
48,52.999947,47.999952,57.999942,97.8,True,100.0,True,2.200000000000003,2.200000000000003,candidate_only,100.0,True,True,False,False,69.0,True,100.0,True
49,53.999946,48.999951,58.999941,96.8,True,101.0,True,4.200000000000003,4.200000000000003,candidate_only,101.0,True,True,False,False,69.0,True,101.0,True
50,54.999945,49.99995,59.99994,96.0,True,101.0,True,5.0,5.0,candidate_only,101.0,True,True,False,False,69.0,True,101.0,True
51,55.999944,50.999949,60.999939,95.4,True,100.0,True,4.599999999999994,4.599999999999994,candidate_only,100.0,True,True,False,False,68.0,True,100.0,True
52,56.999943,51.999948,61.999938,95.2,True,98.0,True,2.799999999999997,2.799999999999997,candidate_only,98.0,True,True,False,False,67.0,True,98.0,True
53,57.999942,52.999947,62.999937,95.3,True,96.0,True,0.7000000000000028,0.7000000000000028,candidate_only,96.0,True,True,False,False,67.0,True,96.0,True
54,58.999941,53.999946,63.999936,95.7,True,94.0,True,-1.7000000000000028,1.7000000000000028,candidate_only,94.0,True,True,False,False,67.0,True,94.0,True
55,59.99994,54.999945,64.999935,96.1,True,93.0,True,-3.0999999999999943,3.0999999999999943,candidate_only,93.0,True,True,False,False,68.0,True,93.0,True
56,60.999939,55.999944,65.999934,96.6,True,92.0,True,-4.599999999999994,4.599999999999994,candidate_only,92.0,True,True,False,False,69.0,True,92.0,True
57,61.999938,56.999943,66.999933,97.0,True,91.0,True,-6.0,6.0,candidate_only,91.0,True,True,False,False,70.0,True,91.0,True
58,62.999937,57.999942,67.999932,97.2,True,90.0,True,-7.200000000000003,7.200000000000003,candidate_only,90.0,True,True,False,False,70.0,True,90.0,True
59,63.999936,58.999941,68.99993099999999,97.3,True,89.0,True,-8.299999999999997,8.299999999999997,candidate_only,89.0,True,True,False,False,70.0,True,89.0,True
60,64.999935,59.99994,69.99992999999999,97.3,True,89.0,True,-8.299999999999997,8.299999999999997,candidate_only,89.0,True,True,False,False,69.0,True,89.0,True
61,65.999934,60.999939,70.999929,97.2,True,89.0,True,-8.200000000000003,8.200000000000003,candidate_only,89.0,True,True,False,False,68.0,True,89.0,True
62,66.999933,61.999938,71.999928,97.0,True,90.0,True,-7.0,7.0,candidate_only,90.0,True,True,False,False,67.0,True,90.0,True
63,67.999932,62.999937,72.999927,96.7,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False
64,68.99993099999999,63.999936,73.999926,96.4,True,,False,,,gap_or_filter_edge,,False,False,False,False,,False,,False
