case,variant,estimator,before,after,Ncommon_output,Nadded_output,Nlost_output,own_delta_MAE_bpm,common_delta_MAE_bpm,own_delta_RMSE_bpm,common_delta_RMSE_bpm,own_delta_Bias_bpm,common_delta_Bias_bpm,own_delta_P5_valid_pct,common_delta_P5_valid_pct,own_delta_R5_all_reference_pct,common_delta_R5_all_reference_pct,own_delta_C_out_pct,common_delta_C_out_pct
user0907,pos,local_peak,trimmed_gap10,trimmed_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,offline_ridge,trimmed_gap10,trimmed_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,local_peak,trimmed_gap10,tracking_only_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,offline_ridge,trimmed_gap10,tracking_only_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,local_peak,trimmed_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,offline_ridge,trimmed_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,local_peak,trimmed_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,offline_ridge,trimmed_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,local_peak,trimmed_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,offline_ridge,trimmed_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,local_peak,trimmed_gap15,tracking_only_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,pos,offline_ridge,trimmed_gap15,tracking_only_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,pos,local_peak,trimmed_gap15,tracking_only_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,offline_ridge,trimmed_gap15,tracking_only_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,local_peak,trimmed_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,pos,offline_ridge,trimmed_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,pos,local_peak,trimmed_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,offline_ridge,trimmed_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,local_peak,tracking_only_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,offline_ridge,tracking_only_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,local_peak,tracking_only_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,offline_ridge,tracking_only_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,local_peak,tracking_only_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,offline_ridge,tracking_only_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,local_peak,tracking_only_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,pos,offline_ridge,tracking_only_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,pos,local_peak,tracking_only_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,offline_ridge,tracking_only_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,pos,local_peak,tracking_screened_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,pos,offline_ridge,tracking_screened_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,local_peak,trimmed_gap10,trimmed_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,offline_ridge,trimmed_gap10,trimmed_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,local_peak,trimmed_gap10,tracking_only_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,offline_ridge,trimmed_gap10,tracking_only_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,local_peak,trimmed_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,offline_ridge,trimmed_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,local_peak,trimmed_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,offline_ridge,trimmed_gap10,tracking_screened_gap10,14,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,local_peak,trimmed_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,offline_ridge,trimmed_gap10,tracking_screened_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,local_peak,trimmed_gap15,tracking_only_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,chrom,offline_ridge,trimmed_gap15,tracking_only_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,chrom,local_peak,trimmed_gap15,tracking_only_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,offline_ridge,trimmed_gap15,tracking_only_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,local_peak,trimmed_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,chrom,offline_ridge,trimmed_gap15,tracking_screened_gap10,14,0,11,,,,,,,,,,,-26.19047619047619,0.0
user0907,chrom,local_peak,trimmed_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,offline_ridge,trimmed_gap15,tracking_screened_gap15,25,0,0,,,,,,,,,,,0.0,0.0
user0907,chrom,local_peak,tracking_only_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
user0907,chrom,offline_ridge,tracking_only_gap10,tracking_only_gap15,14,11,0,,,,,,,,,,,26.19047619047619,0.0
