case,version,roi,source,frames,count,all_video_frames_pct
kaggle_full,tracking_only_gap15,left_cheek,baseline_ratio_fallback,12867,9,0.06994637444625787
kaggle_full,tracking_only_gap15,left_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_only_gap15,right_cheek,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_only_gap15,right_cheek,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_only_gap15,right_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_screened_gap10,forehead,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_screened_gap10,forehead,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_screened_gap10,forehead,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_screened_gap10,left_cheek,tracked_ratio,12867,12856,99.9145099867879
kaggle_full,tracking_screened_gap10,left_cheek,baseline_ratio_fallback,12867,10,0.07771819382917541
kaggle_full,tracking_screened_gap10,left_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_screened_gap10,right_cheek,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_screened_gap10,right_cheek,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_screened_gap10,right_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_screened_gap15,forehead,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_screened_gap15,forehead,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_screened_gap15,forehead,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_screened_gap15,left_cheek,tracked_ratio,12867,12856,99.9145099867879
kaggle_full,tracking_screened_gap15,left_cheek,baseline_ratio_fallback,12867,10,0.07771819382917541
kaggle_full,tracking_screened_gap15,left_cheek,baseline_reset,12867,1,0.007771819382917541
kaggle_full,tracking_screened_gap15,right_cheek,tracked_ratio,12867,12859,99.93782544493666
kaggle_full,tracking_screened_gap15,right_cheek,baseline_ratio_fallback,12867,7,0.05440273568042279
kaggle_full,tracking_screened_gap15,right_cheek,baseline_reset,12867,1,0.007771819382917541
synthetic72,tracking_only_gap10,forehead,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_only_gap10,forehead,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_only_gap10,left_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_only_gap10,left_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_only_gap10,right_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_only_gap10,right_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_only_gap15,forehead,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_only_gap15,forehead,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_only_gap15,left_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_only_gap15,left_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_only_gap15,right_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_only_gap15,right_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_screened_gap10,forehead,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_screened_gap10,forehead,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_screened_gap10,left_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_screened_gap10,left_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_screened_gap10,right_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_screened_gap10,right_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_screened_gap15,forehead,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_screened_gap15,forehead,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_screened_gap15,left_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_screened_gap15,left_cheek,baseline_reset,600,1,0.16666666666666666
synthetic72,tracking_screened_gap15,right_cheek,tracked_ratio,600,599,99.83333333333333
synthetic72,tracking_screened_gap15,right_cheek,baseline_reset,600,1,0.16666666666666666
data1,tracking_only_gap10,forehead,tracked_ratio,1555,1421,91.38263665594856
data1,tracking_only_gap10,forehead,baseline_ratio_fallback,1555,83,5.337620578778135
data1,tracking_only_gap10,forehead,missing,1555,41,2.6366559485530545
data1,tracking_only_gap10,forehead,baseline_reset,1555,10,0.6430868167202572
data1,tracking_only_gap10,left_cheek,tracked_ratio,1555,1384,89.0032154340836
data1,tracking_only_gap10,left_cheek,baseline_ratio_fallback,1555,120,7.717041800643087
data1,tracking_only_gap10,left_cheek,missing,1555,41,2.6366559485530545
data1,tracking_only_gap10,left_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_only_gap10,right_cheek,tracked_ratio,1555,1258,80.90032154340837
data1,tracking_only_gap10,right_cheek,baseline_ratio_fallback,1555,246,15.819935691318328
data1,tracking_only_gap10,right_cheek,missing,1555,41,2.6366559485530545
data1,tracking_only_gap10,right_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_only_gap15,forehead,tracked_ratio,1555,1421,91.38263665594856
data1,tracking_only_gap15,forehead,baseline_ratio_fallback,1555,83,5.337620578778135
data1,tracking_only_gap15,forehead,missing,1555,41,2.6366559485530545
data1,tracking_only_gap15,forehead,baseline_reset,1555,10,0.6430868167202572
data1,tracking_only_gap15,left_cheek,tracked_ratio,1555,1384,89.0032154340836
data1,tracking_only_gap15,left_cheek,baseline_ratio_fallback,1555,120,7.717041800643087
data1,tracking_only_gap15,left_cheek,missing,1555,41,2.6366559485530545
data1,tracking_only_gap15,left_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_only_gap15,right_cheek,tracked_ratio,1555,1258,80.90032154340837
data1,tracking_only_gap15,right_cheek,baseline_ratio_fallback,1555,246,15.819935691318328
data1,tracking_only_gap15,right_cheek,missing,1555,41,2.6366559485530545
data1,tracking_only_gap15,right_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_screened_gap10,forehead,tracked_ratio,1555,1390,89.38906752411576
data1,tracking_screened_gap10,forehead,baseline_ratio_fallback,1555,114,7.331189710610932
data1,tracking_screened_gap10,forehead,missing,1555,41,2.6366559485530545
data1,tracking_screened_gap10,forehead,baseline_reset,1555,10,0.6430868167202572
data1,tracking_screened_gap10,left_cheek,tracked_ratio,1555,1246,80.12861736334405
data1,tracking_screened_gap10,left_cheek,baseline_ratio_fallback,1555,258,16.591639871382636
data1,tracking_screened_gap10,left_cheek,missing,1555,41,2.6366559485530545
data1,tracking_screened_gap10,left_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_screened_gap10,right_cheek,tracked_ratio,1555,1177,75.69131832797427
data1,tracking_screened_gap10,right_cheek,baseline_ratio_fallback,1555,327,21.028938906752412
data1,tracking_screened_gap10,right_cheek,missing,1555,41,2.6366559485530545
data1,tracking_screened_gap10,right_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_screened_gap15,forehead,tracked_ratio,1555,1390,89.38906752411576
data1,tracking_screened_gap15,forehead,baseline_ratio_fallback,1555,114,7.331189710610932
data1,tracking_screened_gap15,forehead,missing,1555,41,2.6366559485530545
data1,tracking_screened_gap15,forehead,baseline_reset,1555,10,0.6430868167202572
data1,tracking_screened_gap15,left_cheek,tracked_ratio,1555,1246,80.12861736334405
data1,tracking_screened_gap15,left_cheek,baseline_ratio_fallback,1555,258,16.591639871382636
data1,tracking_screened_gap15,left_cheek,missing,1555,41,2.6366559485530545
data1,tracking_screened_gap15,left_cheek,baseline_reset,1555,10,0.6430868167202572
data1,tracking_screened_gap15,right_cheek,tracked_ratio,1555,1177,75.69131832797427
data1,tracking_screened_gap15,right_cheek,baseline_ratio_fallback,1555,327,21.028938906752412
data1,tracking_screened_gap15,right_cheek,missing,1555,41,2.6366559485530545
data1,tracking_screened_gap15,right_cheek,baseline_reset,1555,10,0.6430868167202572
