case,version,variant,scope,shift_s,reference_kind,Nref,Nplanned,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_s,longest_missing_run_s,longest_internal_missing_run_s,finite_runs,observed_finite_samples,observed_all_samples_pct,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,peak_concentration_median_accepted,r_wave,morphology_reference_status,waveform_generated_count,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count
data1,trimmed_gap15,chrom,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-10.445145994505737,-10.790470858946644,0.435743758519453,,no_qualified_synchronized_waveform_truth,,,,
data1,trimmed_gap15,chrom,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-10.445145994505737,-10.790470858946644,0.435743758519453,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap10,chrom,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.446174909980476,-11.82740461054301,0.3350813098701342,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap10,chrom,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.446174909980476,-11.82740461054301,0.3350813098701342,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap15,chrom,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.446174909980478,-11.827404610543052,0.3350813098701382,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_only_gap15,chrom,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.446174909980478,-11.827404610543052,0.3350813098701382,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap10,chrom,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.248322457466955,-11.224543300645191,0.3257376612018349,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap10,chrom,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.248322457466955,-11.224543300645191,0.3257376612018349,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap15,chrom,own,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.248322457466935,-11.224543300645216,0.32573766120183395,,no_qualified_synchronized_waveform_truth,,,,
data1,tracking_screened_gap15,chrom,strict_common_all_versions_same_variant,-5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,47.6999523,2.5333308,0.0,1,1418,91.18971061093248,13,0.8360128617363344,0.9084556254367575,-11.248322457466935,-11.224543300645216,0.32573766120183395,,no_qualified_synchronized_waveform_truth,,,,
data1,trimmed_gap10,fusion,own,-2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-12.558503038960252,-13.029054306447602,0.5698093386404177,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
data1,trimmed_gap10,fusion,strict_common_all_versions_same_variant,-2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-12.558503038960252,-13.029054306447602,0.5698093386404177,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
data1,trimmed_gap15,fusion,own,-2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,44.999955,4.999995,0.0,1,1337,85.98070739549838,13,0.8360128617363344,0.9629629629629629,-12.558503038960188,-13.029054306447506,0.5698093386404178,,no_qualified_synchronized_waveform_truth,34.0,0.0,2.0,2.0
