frame,time_s,source,motion_x,motion_y,face_x0,face_y0,face_x1,face_y1,face_detected,flow_available,bridge_age_frames,is_bridge,valid_patch_count,anchor_initialized
33,1.0999989,mesh,-0.0034292786209671583,-0.01033216483063168,0.46608508825302125,0.4052404892444611,0.5449020075798034,0.5765055871009827,True,True,0,False,12,True
34,1.1333322,mesh,-0.004052672562775789,-0.008252117368910048,0.46381748616695406,0.4001243156194687,0.5411556577682496,0.5679629123210906,True,True,0,False,12,True
35,1.1666655,mesh,-0.0045416302151150174,-0.0059275900876080544,0.46178494215011595,0.39716976046562197,0.5381185126304626,0.5627843940258026,True,True,0,False,12,True
36,1.1999988,mesh,-0.004548694469310619,-0.004338515577492891,0.45916579246521,0.3947956883907318,0.5348739647865295,0.5581114542484282,True,True,0,False,12,True
37,1.2333321,mesh,-0.004240477526629412,-0.0031839287943310206,0.4564399540424347,0.39234040200710296,0.5323115873336792,0.5549103200435639,True,True,0,False,12,True
38,1.2666654,mesh,-0.0040003529301396125,-0.0021683995370511654,0.453619019985199,0.39064819276332857,0.5296565377712249,0.5524631154537201,True,True,0,False,12,True
39,1.2999987,mesh,-0.003521654340955946,-0.0012759309124063562,0.4515229153633118,0.3899441677331924,0.5270526528358459,0.5506317293643951,True,True,0,False,12,True
40,1.333332,mesh,-0.0025646580590142146,-0.0009727162343484384,0.44995325922966,0.3896583890914917,0.52532741189003,0.5492062747478486,True,True,0,False,12,True
41,1.3666653,mesh,-0.0015174759758843316,-0.0005241068425001921,0.4492910408973694,0.3898434007167816,0.5239080357551574,0.5478040254116058,True,True,0,False,12,True
42,1.3999986,mesh,-0.0004231382299352575,-0.0008025510443581476,0.4490608578920365,0.3891771990060806,0.5240198302268982,0.5462725555896759,True,True,0,False,12,True
43,1.4333319,mesh,0.0005447140446415654,-0.0006769027974870469,0.44936384856700895,0.3882934087514877,0.5244250559806823,0.5457124030590057,True,True,0,False,12,True
44,1.4666652,mesh,0.001375954239456742,-0.000232552378265946,0.45041001260280605,0.38816500663757325,0.5252723395824432,0.5460118734836579,True,True,0,False,12,True
45,1.4999985,mesh,0.002173077618634259,0.00024188756942749022,0.4518151831626892,0.38873116791248324,0.52618399143219,0.5468264579772949,True,True,0,False,12,True
46,1.5333318,mesh,0.003036710951063368,-3.114132969467728e-05,0.453940766453743,0.389445219039917,0.5274123847484589,0.5468032014369965,True,True,0,False,12,True
47,1.5666650999999998,mesh,0.003694317075941298,-0.0005279268379564638,0.45630461871623995,0.3891967695951462,0.5296566271781921,0.5456545746326447,True,True,0,False,12,True
48,1.5999983999999998,mesh,0.003994078106350369,-0.0005768026466722841,0.45849989891052245,0.3892922312021255,0.5313260889053345,0.5444505774974824,True,True,0,False,12,True
49,1.6333316999999998,mesh,0.004530459863168222,-0.000510164322676482,0.46150936365127565,0.3896798473596573,0.5342569863796235,0.5433915376663208,True,True,0,False,12,True
50,1.6666649999999998,mesh,0.004813720561839916,-0.00018347170617845324,0.46478423118591305,0.39038739681243895,0.5370279729366303,0.5424078977108001,True,True,0,False,12,True
51,1.6999982999999999,mesh,0.004912411725079572,0.0003357370694478353,0.46797967731952667,0.39086033463478087,0.5393700563907623,0.541943588256836,True,True,0,False,12,True
