case,wave,version,method,reference_kind,scope,comparison,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Naccepted_finite_waveform_windows,Nsnr_own,Nscored,waveform_generated_count,waveform_generated_planned_pct,waveform_generated_SNR_calculable_count,non_generated_accepted_finite_count,non_generated_SNR_calculable_count,generation_provenance,finite_waveform_samples,waveform_samples,snr_mean_db,snr_median_db,snr_q25_db,snr_q75_db,r_wave,source_csv
ubfc,new/chrom,new,chrom,human_UBFC_device_HR,pair_common,new/fusion minus new/chrom,44,44,40,40,40,40,35,,,,,,Not applicable to continuous single-method waveform,1453,1547,-3.78928259844339,-3.371289365576406,-5.029944252446832,-2.5534653159451057,,rppg_motion_v2/validation/ubfc/chrom_waveform.csv
ubfc,new/fusion,new,fusion,human_UBFC_device_HR,pair_common,new/fusion minus new/chrom,44,44,35,40,35,35,35,34.0,77.27272727272727,34.0,1.0,1.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,1424,1547,-3.263198611101327,-2.9785137906173538,-4.970776137291115,-1.9087531218437102,,rppg_motion_v2/validation/ubfc/fusion_waveform.csv
kaggle_full,old/pos,old,pos,none,own,,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/pos_waveform.csv
kaggle_full,old/pos,old,pos,none,all_5_waveforms_common,all_5_waveforms,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/pos_waveform.csv
kaggle_full,old/chrom,old,chrom,none,own,,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/chrom_waveform.csv
kaggle_full,old/chrom,old,chrom,none,all_5_waveforms_common,all_5_waveforms,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/chrom_waveform.csv
kaggle_full,new/pos,new,pos,none,own,,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/pos_waveform.csv
kaggle_full,new/pos,new,pos,none,all_5_waveforms_common,all_5_waveforms,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/pos_waveform.csv
kaggle_full,new/chrom,new,chrom,none,own,,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/chrom_waveform.csv
kaggle_full,new/chrom,new,chrom,none,all_5_waveforms_common,all_5_waveforms,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/chrom_waveform.csv
kaggle_full,new/fusion,new,fusion,none,own,,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
kaggle_full,new/fusion,new,fusion,none,all_5_waveforms_common,all_5_waveforms,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
kaggle_full,new/fusion,new,fusion,none,generated_only,,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
kaggle_full,old/pos,old,pos,none,pair_common,new/pos minus old/pos,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/pos_waveform.csv
kaggle_full,new/pos,new,pos,none,pair_common,new/pos minus old/pos,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/pos_waveform.csv
kaggle_full,old/chrom,old,chrom,none,pair_common,new/chrom minus old/chrom,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/chrom_waveform.csv
kaggle_full,new/chrom,new,chrom,none,pair_common,new/chrom minus old/chrom,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/chrom_waveform.csv
kaggle_full,old/pos,old,pos,none,pair_common,new/fusion minus old/pos,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/pos_waveform.csv
kaggle_full,new/fusion,new,fusion,none,pair_common,new/fusion minus old/pos,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
kaggle_full,old/chrom,old,chrom,none,pair_common,new/fusion minus old/chrom,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_metrics_review_20260908/kaggle_full/chrom_waveform.csv
kaggle_full,new/fusion,new,fusion,none,pair_common,new/fusion minus old/chrom,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
kaggle_full,new/pos,new,pos,none,pair_common,new/fusion minus new/pos,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/pos_waveform.csv
kaggle_full,new/fusion,new,fusion,none,pair_common,new/fusion minus new/pos,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
kaggle_full,new/chrom,new,chrom,none,pair_common,new/fusion minus new/chrom,419,0,416,416,416,0,0,,,,,,Not applicable to continuous single-method waveform,12771,12867,,,,,,rppg_motion_v2/validation/kaggle_full/chrom_waveform.csv
kaggle_full,new/fusion,new,fusion,none,pair_common,new/fusion minus new/chrom,419,0,246,323,208,0,0,146.0,34.84486873508353,0.0,62.0,0.0,Explicit per-window fusion generation flag; finite base may also come from overlapping neighbors,11850,12867,,,,,,rppg_motion_v2/validation/kaggle_full/fusion_waveform.csv
synthetic72,old/pos,old,pos,synthetic_72bpm_modulation,own,,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205358,8.006723993569134,7.501917953618227,8.848002694172585,,rppg_metrics_review_20260908/synthetic72/pos_waveform.csv
synthetic72,old/pos,old,pos,synthetic_72bpm_modulation,all_5_waveforms_common,all_5_waveforms,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,8.196636285205358,8.006723993569134,7.501917953618227,8.848002694172585,,rppg_metrics_review_20260908/synthetic72/pos_waveform.csv
synthetic72,old/chrom,old,chrom,synthetic_72bpm_modulation,own,,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.92135478003284,9.890708607879207,9.095640933770522,10.882535583057962,,rppg_metrics_review_20260908/synthetic72/chrom_waveform.csv
synthetic72,old/chrom,old,chrom,synthetic_72bpm_modulation,all_5_waveforms_common,all_5_waveforms,11,11,7,7,7,7,7,,,,,,Not applicable to continuous single-method waveform,504,600,9.92135478003284,9.890708607879207,9.095640933770522,10.882535583057962,,rppg_metrics_review_20260908/synthetic72/chrom_waveform.csv
