window_index,time_s,channel,roi,method,channel_status,observed_fraction,roi_quality,signal_std,candidate_rank,candidate_bpm,relative_power,peak_concentration,prominence_ratio,candidate_weight,motion_overlap,motion_weight,selected_consensus,output_accepted,waveform_weight,motion_available,motion_observed_fraction,motion_speed_face_per_s,motion_strength,motion_reliability,motion_spectral_coverage,motion_evidence_status,branch,original_channel
2,6.999993,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.9614811247029175,1,54.0,1.0,0.25061979614712426,1.0,0.5006194124753097,0.19637767618115637,0.9509055809547109,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
2,6.999993,forehead_tracked_logpos,forehead,tracked_logpos,usable,1.0,1.0,0.9614811247029175,2,68.0,0.820916001810612,0.18244523107187627,0.1817404361671674,0.38700414680070017,0.31035371830466424,0.9224115704238339,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logpos
2,6.999993,forehead_tracked_logchrom,forehead,tracked_logchrom,usable,1.0,1.0,0.9491455794519477,1,69.0,1.0,0.2504456521120512,1.0,0.5004454536830675,0.2665440909123458,0.9333639772719136,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logchrom
2,6.999993,forehead_tracked_logchrom,forehead,tracked_logchrom,usable,1.0,1.0,0.9491455794519477,2,45.0,0.7743265815865247,0.17198911033147854,0.6353114352537241,0.3649325141352595,0.4997494034231181,0.8750626491442205,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,forehead_logchrom
2,6.999993,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.650531157836851,1,53.0,1.0,0.16434948269939814,1.0,0.40540039800103567,0.26263170901569943,0.9343420727460752,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
2,6.999993,left_cheek_tracked_logpos,left_cheek,tracked_logpos,usable,1.0,1.0,0.650531157836851,2,68.0,0.9123634475047955,0.15220764012921328,0.6131721424198785,0.372650891968419,0.31035371830466424,0.9224115704238339,True,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logpos
2,6.999993,left_cheek_tracked_logchrom,left_cheek,tracked_logchrom,usable,1.0,1.0,0.7235370003642522,1,160.0,1.0,0.16203385642876966,1.0,0.402534292239518,0.4575287618635573,0.8856178095341107,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,left_cheek_logchrom
2,6.999993,right_cheek_tracked_logpos,right_cheek,tracked_logpos,usable,1.0,1.0,0.4563488256790006,1,106.0,1.0,0.242703419846642,1.0,0.4926493883550877,0.34499136554285736,0.9137521586142856,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
2,6.999993,right_cheek_tracked_logpos,right_cheek,tracked_logpos,usable,1.0,1.0,0.4563488256790006,2,88.0,0.941120518276667,0.2593900107588317,0.9320331882539865,0.49408224149542346,0.49208991406640135,0.8769775214833997,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logpos
2,6.999993,right_cheek_tracked_logchrom,right_cheek,tracked_logchrom,usable,1.0,1.0,0.6732403138569234,1,89.0,1.0,0.21999125521628912,1.0,0.46903225391894865,0.5493992421106073,0.8626501894723482,False,False,0.0,False,,,,,,legacy_not_assessed,tracked,right_cheek_logchrom
3,7.999992,forehead_baseline_logpos,forehead,baseline_logpos,usable,1.0,1.0,0.811052242800437,1,134.0,1.0,0.22276611205483834,1.0,0.471981050525165,0.09032753745464167,0.9774181156363396,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logpos
3,7.999992,forehead_baseline_logpos,forehead,baseline_logpos,usable,1.0,1.0,0.811052242800437,2,56.0,0.8548246851364081,0.19459046248998602,0.8497232324173656,0.40784890686202696,0.03967934712794395,0.9900801632180141,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logpos
3,7.999992,forehead_baseline_logchrom,forehead,baseline_logchrom,usable,1.0,1.0,0.9337625261156773,1,68.0,1.0,0.23964419519081928,1.0,0.48953467210282386,0.4254684187177011,0.8936328953205748,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logchrom
3,7.999992,forehead_baseline_logchrom,forehead,baseline_logchrom,usable,1.0,1.0,0.9337625261156773,2,142.0,0.839160533995385,0.16340700464982208,0.8372929071944403,0.3703035366838009,0.4762182899427887,0.8809454275143028,False,False,0.0,False,,,,,,legacy_not_assessed,baseline,forehead_logchrom
