mode,gap,case,roi,frames,valid_frames,longest_run_frames,longest_run_s,tracked_frames,fallback_frames,reset_frames,screened_frames,screened_points,r_relative_gain_min,r_relative_gain_max,r_log_offset_p95_minus_p05,r_longest_run_end_minus_start,r_mean_pair_difference_vs_baseline,r_offset_power_below_0p7Hz_fraction,g_relative_gain_min,g_relative_gain_max,g_log_offset_p95_minus_p05,g_longest_run_end_minus_start,g_mean_pair_difference_vs_baseline,g_offset_power_below_0p7Hz_fraction,b_relative_gain_min,b_relative_gain_max,b_log_offset_p95_minus_p05,b_longest_run_end_minus_start,b_mean_pair_difference_vs_baseline,b_offset_power_below_0p7Hz_fraction
tracking_only,gap10,kaggle_full,left_cheek,12867,12867,12867,429.32890000000003,12857,9,1,0,0,0.8719060186538313,1.112434361497386,0.12908079973211817,-0.13522886979057425,-1.051056037545269e-05,0.9344472248593906,0.7721879095935189,1.1166637218484923,0.15779650978097678,-0.25707718388284373,-1.998112730319009e-05,0.9360921201659449,0.866516178651079,1.3380349728732912,0.14231971671381816,-0.1403943525630755,-1.091204356933589e-05,0.9345655049538771
tracking_only,gap10,kaggle_full,right_cheek,12867,12867,12867,429.32890000000003,12859,7,1,0,0,0.7846610048163243,1.355671592383097,0.36397983614975954,-0.13106072407136335,-1.0186594440491472e-05,0.932090002219185,0.7156515370934554,1.3497512460349006,0.39432331096326056,-0.2548979263019183,-1.9811746176116776e-05,0.9342936476182807,0.6984002428250315,1.4270341986053594,0.4621226252997871,-0.17411563709682334,-1.3533004593255344e-05,0.9336789331275858
tracking_only,gap10,synthetic72,forehead,600,600,600,20.0,599,0,1,0,0,0.9701663049828597,1.0004194980780523,0.015512479481132668,-0.014015465879548716,-2.339810664365395e-05,0.08468252380028363,0.9608569034231346,1.0060831441353966,0.02763825121740013,-0.009661679122913524,-1.612968134042323e-05,0.11860383849065316,0.9477548143574365,1.0,0.02669171851651196,-0.033628273719500695,-5.614069068364055e-05,0.07773909208214477
tracking_only,gap10,synthetic72,left_cheek,600,600,600,20.0,599,0,1,0,0,0.9888960695607191,1.0115772868723507,0.017866031564339777,0.00964744926336973,1.6105925314473676e-05,0.5142396282210773,0.9827232128819794,1.0070071280136599,0.018120203856084365,0.0032225539885340827,5.379889797218841e-06,0.46755314968709605,0.9643674883726264,1.0,0.018638301027022526,-0.028280249262457122,-4.721243616436915e-05,0.1885290355089356
tracking_only,gap10,synthetic72,right_cheek,600,600,600,20.0,599,0,1,0,0,0.9666894939828087,1.0,0.025133196316099365,-0.0316419576905829,-5.282463721299316e-05,0.6607744399305845,0.9853268579727575,1.0,0.007679561974632507,-0.007096532896730771,-1.1847300328432003e-05,0.10006104121435357,0.954368073180816,1.0,0.028732747254750335,-0.03945150231975341,-6.586227432346146e-05,0.4952397247143323
tracking_only,gap10,data1,forehead,1555,1514,859,28.6333047,1421,83,10,0,0,0.6762782101232031,1.1037207516908816,0.4134159379444745,-0.38042304066226207,-0.00044338349727536373,0.9754691686471181,0.8473831974495178,1.1737009412670307,0.24651341712599006,-0.13362088867944216,-0.00015573530149119133,0.9409466681710372,0.8722987180129477,1.2030150553389345,0.22657298979356905,-0.07096397959141176,-8.270860092239138e-05,0.9364322365480963
tracking_only,gap10,data1,left_cheek,1555,1514,859,28.6333047,1384,120,10,0,0,0.8905386106177523,1.0517622134666567,0.09340666047816074,-0.063403863779475,-7.38972771322552e-05,0.7798126615425712,0.7987397002292802,1.1199132756025625,0.18635488614526896,-0.1698959031768631,-0.0001980138731665071,0.8154223319168726,0.749581871183306,1.088810198701632,0.25711571617919493,-0.2421537090801027,-0.0002822304301632899,0.8610260141208066
tracking_only,gap10,data1,right_cheek,1555,1514,859,28.6333047,1258,246,10,0,0,0.9066435169689145,1.1985358755601474,0.1459467645337048,0.05148388783608464,6.000453127748793e-05,0.7512855176049249,0.855717757939231,1.2510653139737318,0.24099960595586647,0.039843021879842316,4.643708843804467e-05,0.8263759572607233,0.8737303590667966,1.263365939919986,0.21379170595265773,-0.04106926539182665,-4.786627668045067e-05,0.7299361743861008
tracking_only,gap15,user0904,forehead,1461,1461,1461,48.699951299999995,1460,0,1,0,0,1.0,1.1460112754670841,0.06271435918561616,0.056222865918258494,3.850881227277979e-05,0.8833680131921113,1.0,1.2994072497181062,0.12564229593682819,0.14586829619364433,9.990979191345503e-05,0.894117499339328,1.0,1.342824194659593,0.16634865891795303,0.20195631075946607,0.00013832624024620965,0.9090792830678412
tracking_only,gap15,user0904,left_cheek,1461,1461,1461,48.699951299999995,1460,0,1,0,0,0.9537455063594205,1.1346016914338455,0.07990743267098077,0.11536471904019928,7.901693084945161e-05,0.8968432268399518,0.94892236811365,1.1642440547463415,0.06852218536047393,0.1415098681113936,9.692456719958466e-05,0.8642062587717078,0.9306588922626446,1.1296016853165887,0.09559023947192224,0.11339762807757768,7.766960827231345e-05,0.8863635699978416
tracking_only,gap15,user0904,right_cheek,1461,1461,1461,48.699951299999995,1460,0,1,0,0,0.9771171351234531,1.052585188265387,0.04539283368789216,-0.014883461287165877,-1.0194151566551972e-05,0.8696616360215678,0.974841401827665,1.0672517257475695,0.04782556053700276,-0.023260360930129727,-1.5931754061732713e-05,0.8200802906307553,0.9763127359409159,1.1190486246761242,0.10437924609482399,0.005820870457399906,3.986897573561595e-06,0.7997383013571686
tracking_only,gap15,user0907,forehead,1557,1415,96,3.1999967999999996,1078,277,60,0,0,0.7336971851834587,1.0402346650720788,0.2293780436916702,-0.2607406440193778,-0.002744638358098714,0.9382508062693635,0.6339671108141052,1.188549970682213,0.37007729154014446,-0.3801299284134719,-0.00400136766751023,0.857888917866954,0.6099777848591653,1.406854258341856,0.38425624467526415,-0.39923804767878496,-0.004202505765039842,0.8760222317694096
tracking_only,gap15,user0907,left_cheek,1557,1415,96,3.1999967999999996,1230,125,60,0,0,0.8860394009610784,1.078250986287389,0.0658801379267608,-0.007849315392849466,-8.262437255631014e-05,0.6097155201660691,0.8529852625357087,1.1194655842576802,0.13103011229721118,-0.009505578096220857,-0.0001000587168023247,0.22647197839211847,0.8359497492131133,1.1001926004821225,0.14106863029271838,-0.02818842973454792,-0.0002967203129952414,0.5749707075995533
tracking_only,gap15,user0907,right_cheek,1557,1415,96,3.1999967999999996,1281,74,60,0,0,0.9385583192713671,1.1084681672342513,0.0773496805231301,0.009754367176550548,0.00010267754922684782,0.4507357601011922,0.9282585936954203,1.1509648076535792,0.10425546184724009,0.0069143488739251665,7.27826197255282e-05,0.2620526817992735,0.8679693721401553,1.1808812115360514,0.11013855196303443,-0.032711393733904616,-0.0003443304603568907,0.23935170948958623
tracking_only,gap15,ubfc,forehead,1547,1547,1547,52.863395177696525,1546,0,1,0,0,0.8958872000300269,1.0132348227532073,0.09835016252636515,-0.105494736190725,-6.823721616476391e-05,0.8514596777968997,0.8837909222563165,1.0137171724993514,0.10441853022110038,-0.12008578950157452,-7.767515491693047e-05,0.8514052603050731,0.8758633568324083,1.0135147335074621,0.1179979422830845,-0.1317815686500118,-8.524034194696753e-05,0.848493382367014
tracking_only,gap15,ubfc,left_cheek,1547,1547,1547,52.863395177696525,1546,0,1,0,0,0.9944177325773244,1.0072615494681079,0.00712796935974896,-0.00013863030508745152,-8.967031376937253e-08,0.5401375664545008,0.9965875778795777,1.010313577129357,0.007280918585283321,0.002442859323913623,1.5801159921821575e-06,0.5206181081139389,0.9923329888595244,1.0093387568739938,0.009418489782134715,-0.0007140813653452175,-4.618896282957379e-07,0.597323302832414
tracking_only,gap15,ubfc,right_cheek,1547,1547,1547,52.863395177696525,1546,0,1,0,0,0.9972684502901129,1.0044979725422154,0.0036264934188534456,0.0003503926132712892,2.2664463989087338e-07,0.6726054755680454,0.9953332534376679,1.0050484775795572,0.005859970537132416,-0.0023866106573560792,-1.543732637358397e-06,0.708815235004055,0.9917782703036027,1.006768965085241,0.007539362799249935,-0.00488593614931694,-3.1603726709682705e-06,0.7254282327797397
tracking_only,gap15,kaggle_full,forehead,12867,12867,12867,429.32890000000003,12859,7,1,0,0,0.7709476257191951,1.2385227994387293,0.2552229116433081,-0.24386672571115714,-1.8954354555507317e-05,0.9190898906023406,0.6602617655585297,1.377454583108945,0.4119077671196701,-0.39312700945322626,-3.0555495838117995e-05,0.9338090663514832,0.7580692187520711,1.4610755177738566,0.37663990156809907,-0.25168711059685916,-1.9562187983589236e-05,0.9409715702112342
