time_s,base,observed,interpolated,covered
4.666662,-0.7170327974299202,True,False,True
4.699995299999999,-0.7302393805883485,True,False,True
4.7333286,-0.7057534724462422,True,False,True
4.7666619,-0.6442328488087886,True,False,True
4.7999952,-0.54830179755405,True,False,True
4.8333285,-0.42246102286678244,True,False,True
4.8666618,-0.27289668612013385,True,False,True
4.8999951,-0.1071935549366635,True,False,True
4.9333284,0.06603741462353192,True,False,True
4.9666617,0.23760130041893385,True,False,True
4.999995,0.3982102947853094,True,False,True
5.0333283,0.5389981735794978,True,False,True
5.0666616,0.652029269372665,True,False,True
5.0999949,0.7307712041892619,True,False,True
5.133328199999999,0.7705007201694115,True,False,True
5.1666615,0.768614245943158,True,False,True
5.1999948,0.7248194537000531,True,False,True
5.2333281,0.6411908820654856,True,False,True
5.266661399999999,0.522081367954596,True,False,True
5.2999947,0.37389095526268096,True,False,True
5.333328,0.2047053381810149,True,False,True
5.3666613,0.023825829619138424,True,False,True
5.399994599999999,-0.15877863600540265,True,False,True
5.4333279,-0.33306072804847464,True,False,True
5.4666612,-0.48948517777664563,True,False,True
5.4999945,-0.6195805709221548,True,False,True
5.5333278,-0.7164160492512137,True,False,True
5.5666611,-0.7749729879497532,True,False,True
5.5999944,-0.7923905295710691,True,False,True
5.6333277,-0.7680740442656958,True,False,True
5.666661,-0.7036660843608895,True,False,True
5.699994299999999,-0.6028891718451631,True,False,True
5.7333276,-0.4712779291684474,True,False,True
5.7666609,-0.3158240363620021,True,False,True
5.7999942,-0.1445609923564151,True,False,True
5.833327499999999,0.033883285921616574,True,False,True
5.8666608,0.21073907625997604,True,False,True
5.8999941,0.37752847354716007,True,False,True
5.9333274,0.5264596854510893,True,False,True
5.966660699999999,0.6507661167580784,True,False,True
5.999994,0.7449789458131894,True,False,True
6.0333273,0.8051262874698385,True,False,True
6.0666606,0.828856018464222,True,False,True
6.099993899999999,0.8154828047697745,True,False,True
6.1333272,0.7659627831882806,True,False,True
6.1666605,0.6828017234555113,True,False,True
6.1999938,0.5699043658439634,True,False,True
6.2333271,0.4323740319381289,True,False,True
6.266660399999999,0.2762725817178537,True,False,True
6.2999937,0.10835137604431311,True,False,True
6.333327,-0.06423586134478508,True,False,True
6.3666603,-0.23422746347424322,True,False,True
6.399993599999999,-0.39454504602430307,True,False,True
6.4333269,-0.5385716352200627,True,False,True
6.4666602,-0.6604075567285154,True,False,True
6.4999935,-0.7550958723618164,True,False,True
6.533326799999999,-0.8188102246003585,True,False,True
6.5666601,-0.8489991550932017,True,False,True
6.5999934,-0.8444822924477091,True,False,True
6.6333267,-0.8054952446755238,True,False,True
6.666659999999999,-0.7336815643903843,True,False,True
6.6999933,-0.6320317541175793,True,False,True
6.7333266,-0.5047709116802175,True,False,True
6.7666599,-0.3571982443291613,True,False,True
6.799993199999999,-0.1954832676356777,True,False,True
6.8333265,-0.02642501654256374,True,False,True
6.8666598,0.14281799963729183,True,False,True
6.8999931,0.30501809844595823,True,False,True
6.9333264,0.45317888213531804,True,False,True
6.966659699999999,0.5808348603724718,True,False,True
6.999993,0.6823386115010288,True,False,True
7.0333263,0.7531235402480949,True,False,True
7.0666596,0.789930360631963,True,False,True
7.099992899999999,0.7909859576099609,True,False,True
7.1333262,0.7561243164921044,True,False,True
7.1666595,0.6868407923189225,True,False,True
7.1999928,0.5862731327378384,True,False,True
7.233326099999999,0.4591053485599204,True,False,True
7.2666594,0.3113936986942521,True,False,True
7.2999927,0.15031764681749568,True,False,True
7.333326,-0.0161374432175698,True,False,True
