case,version,variant,scope,shift_s,reference_kind,Nref,Nplanned,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_s,longest_missing_run_s,longest_internal_missing_run_s,finite_runs,observed_finite_samples,observed_all_samples_pct,interpolated_samples,interpolated_all_samples_pct,interpolated_covered_samples_pct,snr_mean_db,snr_median_db,peak_concentration_median_accepted,r_wave,morphology_reference_status,waveform_generated_count,waveform_generated_pct_of_planned,waveform_generated_but_HR_rejected_count,neighbor_covered_count,accepted_neighbor_covered_count
user0907,trimmed_gap15,chrom,strict_common_all_versions_same_variant,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3023519598823682,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap10,chrom,own,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.27439706427915067,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap10,chrom,strict_common_all_versions_same_variant,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.27439706427915067,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap15,chrom,own,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3192722051229634,,no_qualified_synchronized_waveform_truth,,,,,
user0907,bounded_tracking_gap15,chrom,strict_common_all_versions_same_variant,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3192722051229634,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap10,chrom,own,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.2743970642791519,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap10,chrom,strict_common_all_versions_same_variant,0,none,0,42,14,20,0,1184,76.043673731535,39.4666272,25.3999746,6.1666605,6.1666605,2,1078,69.23570969813746,106,6.8079640333975595,8.952702702702704,,,0.2743970642791519,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap15,chrom,own,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3192722051229634,,no_qualified_synchronized_waveform_truth,,,,,
user0907,guarded_fusion_gap15,chrom,strict_common_all_versions_same_variant,0,none,0,42,25,39,0,1457,93.57739242132305,48.5666181,48.5666181,1.7333315999999999,0.0,1,1319,84.71419396274888,138,8.863198458574182,9.471516815374056,,,0.3192722051229634,,no_qualified_synchronized_waveform_truth,,,,,
ubfc,trimmed_gap10,fusion,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4534764838017395,1.819789049788868,0.7186114586194035,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,trimmed_gap10,fusion,strict_common_all_versions_same_variant,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4534764838017395,1.819789049788868,0.7186114586194035,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,trimmed_gap15,fusion,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.453476483801764,1.8197890497887759,0.7186114586194059,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,trimmed_gap15,fusion,strict_common_all_versions_same_variant,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.453476483801764,1.8197890497887759,0.7186114586194059,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,bounded_tracking_gap10,fusion,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4178462362334832,1.4320510129262205,0.7113895455909887,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,bounded_tracking_gap10,fusion,strict_common_all_versions_same_variant,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4178462362334832,1.4320510129262205,0.7113895455909887,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,bounded_tracking_gap15,fusion,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4178462362335176,1.4320510129262385,0.7113895455909944,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,bounded_tracking_gap15,fusion,strict_common_all_versions_same_variant,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4178462362335176,1.4320510129262385,0.7113895455909944,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,guarded_fusion_gap10,fusion,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4534764838017753,1.8197890497887534,0.7186114586194055,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,guarded_fusion_gap10,fusion,strict_common_all_versions_same_variant,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4534764838017753,1.8197890497887534,0.7186114586194055,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
ubfc,guarded_fusion_gap15,fusion,own,0,paired_UBFC_device_HR,44,44,40,40,40,1424,92.04912734324499,48.6602939450807,48.6602939450807,2.2211510578864084,0.0,1,1424,92.04912734324499,0,0.0,0.0,1.4534764838017753,1.8197890497887534,0.7186114586194055,,no_qualified_synchronized_waveform_truth,40.0,90.9090909090909,0.0,0.0,0.0
