case,version,variant,Nplanned,Noutput,output_runs,internal_breaks,output_state_transitions,longest_run_windows,longest_run_center_span_s,longest_run_support_union_s,output_support_union_s,longest_rejected_run_windows,longest_run_first_window_index,longest_run_last_window_index,longest_rejected_grid_run_s,longest_rejected_center_span_s
ubfc,bounded_tracking_gap15,pos,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,bounded_tracking_gap15,chrom,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,guarded_fusion_gap10,fusion,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,guarded_fusion_gap10,pos,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,guarded_fusion_gap10,chrom,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,guarded_fusion_gap15,fusion,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,guarded_fusion_gap15,pos,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
ubfc,guarded_fusion_gap15,chrom,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41,1.9819501747294108,0.9909750873647054
kaggle_full,trimmed_gap10,fusion,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,trimmed_gap10,pos,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,trimmed_gap10,chrom,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,trimmed_gap15,fusion,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,trimmed_gap15,pos,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,trimmed_gap15,chrom,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,bounded_tracking_gap10,fusion,419,415,1,0,2,415,414.414,424.42400000000004,424.42400000000004,2,2,416,2.0020000000000002,1.0010000000000001
kaggle_full,bounded_tracking_gap10,pos,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,bounded_tracking_gap10,chrom,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,bounded_tracking_gap15,fusion,419,415,1,0,2,415,414.414,424.42400000000004,424.42400000000004,2,2,416,2.0020000000000002,1.0010000000000001
kaggle_full,bounded_tracking_gap15,pos,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,bounded_tracking_gap15,chrom,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,guarded_fusion_gap10,fusion,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,guarded_fusion_gap10,pos,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,guarded_fusion_gap10,chrom,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,guarded_fusion_gap15,fusion,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,guarded_fusion_gap15,pos,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
kaggle_full,guarded_fusion_gap15,chrom,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417,2.0020000000000002,1.0010000000000001
synthetic72,trimmed_gap10,fusion,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,trimmed_gap10,pos,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,trimmed_gap10,chrom,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,trimmed_gap15,fusion,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,trimmed_gap15,pos,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,trimmed_gap15,chrom,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,bounded_tracking_gap10,fusion,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,bounded_tracking_gap10,pos,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,bounded_tracking_gap10,chrom,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,bounded_tracking_gap15,fusion,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,bounded_tracking_gap15,pos,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,bounded_tracking_gap15,chrom,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,guarded_fusion_gap10,fusion,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,guarded_fusion_gap10,pos,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,guarded_fusion_gap10,chrom,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,guarded_fusion_gap15,fusion,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,guarded_fusion_gap15,pos,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
synthetic72,guarded_fusion_gap15,chrom,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8,2.0,1.0
data1,trimmed_gap10,fusion,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40,4.999995,3.999996
data1,trimmed_gap10,pos,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,trimmed_gap10,chrom,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,trimmed_gap15,fusion,42,36,1,0,2,36,34.999964999999996,44.999955,44.999955,5,5,40,4.999995,3.999996
data1,trimmed_gap15,pos,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,trimmed_gap15,chrom,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,bounded_tracking_gap10,fusion,42,37,1,0,2,37,35.999964,45.999953999999995,45.999953999999995,4,4,40,3.999996,2.999997
data1,bounded_tracking_gap10,pos,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,bounded_tracking_gap10,chrom,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,bounded_tracking_gap15,fusion,42,37,1,0,2,37,35.999964,45.999953999999995,45.999953999999995,4,4,40,3.999996,2.999997
data1,bounded_tracking_gap15,pos,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,bounded_tracking_gap15,chrom,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,guarded_fusion_gap10,fusion,42,37,1,0,2,37,35.999964,45.999953999999995,45.999953999999995,4,4,40,3.999996,2.999997
data1,guarded_fusion_gap10,pos,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,guarded_fusion_gap10,chrom,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,guarded_fusion_gap15,fusion,42,37,1,0,2,37,35.999964,45.999953999999995,45.999953999999995,4,4,40,3.999996,2.999997
data1,guarded_fusion_gap15,pos,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
data1,guarded_fusion_gap15,chrom,42,38,1,0,2,38,36.999963,46.999953,46.999953,3,3,40,2.999997,1.999998
