case,variant,before,after,shift_s,Npaired_snr,mean_paired_delta_snr_db,median_paired_delta_snr_db,positive_delta_pct
data1,pos,bounded_tracking_gap10,guarded_fusion_gap10,-2,38,4.952763345643593e-14,3.241851231905457e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap15,-2,38,4.952763345643593e-14,3.241851231905457e-14,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap10,-2,38,0.0,0.0,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap15,-2,38,0.0,0.0,0.0
data1,pos,guarded_fusion_gap10,guarded_fusion_gap15,-2,38,0.0,0.0,0.0
data1,chrom,trimmed_gap10,trimmed_gap15,-2,38,3.3330063855062595e-14,2.842170943040401e-14,0.0
data1,chrom,trimmed_gap10,bounded_tracking_gap10,-2,38,-1.7178236085565868,-1.5821270960775244,18.421052631578945
data1,chrom,trimmed_gap10,bounded_tracking_gap15,-2,38,-1.7178236085565184,-1.582127096077385,18.421052631578945
data1,chrom,trimmed_gap10,guarded_fusion_gap10,-2,38,-1.7178236085565184,-1.582127096077385,18.421052631578945
data1,chrom,trimmed_gap10,guarded_fusion_gap15,-2,38,-1.7178236085565184,-1.582127096077385,18.421052631578945
data1,chrom,trimmed_gap15,bounded_tracking_gap10,-2,38,-1.7178236085566205,-1.5821270960775724,18.421052631578945
data1,chrom,trimmed_gap15,bounded_tracking_gap15,-2,38,-1.7178236085565513,-1.582127096077433,18.421052631578945
data1,chrom,trimmed_gap15,guarded_fusion_gap10,-2,38,-1.7178236085565513,-1.582127096077433,18.421052631578945
data1,chrom,trimmed_gap15,guarded_fusion_gap15,-2,38,-1.7178236085565513,-1.582127096077433,18.421052631578945
data1,chrom,bounded_tracking_gap10,bounded_tracking_gap15,-2,38,6.881045441045181e-14,5.773159728050814e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap10,-2,38,6.881045441045181e-14,5.773159728050814e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap15,-2,38,6.881045441045181e-14,5.773159728050814e-14,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap10,-2,38,0.0,0.0,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap15,-2,38,0.0,0.0,0.0
data1,chrom,guarded_fusion_gap10,guarded_fusion_gap15,-2,38,0.0,0.0,0.0
data1,fusion,trimmed_gap10,trimmed_gap15,-1,36,7.2485227696638e-14,7.638334409421077e-14,0.0
data1,fusion,trimmed_gap10,bounded_tracking_gap10,-1,36,-0.11643572164684225,-0.4704552799134065,44.44444444444444
data1,fusion,trimmed_gap10,bounded_tracking_gap15,-1,36,-0.11643572164682123,-0.47045527991336034,44.44444444444444
data1,fusion,trimmed_gap10,guarded_fusion_gap10,-1,36,-0.04174462265471915,1.341149413747189e-13,27.77777777777778
data1,fusion,trimmed_gap10,guarded_fusion_gap15,-1,36,-0.04174462265471915,1.341149413747189e-13,27.77777777777778
data1,fusion,trimmed_gap15,bounded_tracking_gap10,-1,36,-0.11643572164691474,-0.47045527991348557,44.44444444444444
data1,fusion,trimmed_gap15,bounded_tracking_gap15,-1,36,-0.11643572164689371,-0.4704552799134394,44.44444444444444
data1,fusion,trimmed_gap15,guarded_fusion_gap10,-1,36,-0.04174462265479163,2.3092638912203256e-14,27.77777777777778
data1,fusion,trimmed_gap15,guarded_fusion_gap15,-1,36,-0.04174462265479163,2.3092638912203256e-14,27.77777777777778
data1,fusion,bounded_tracking_gap10,bounded_tracking_gap15,-1,37,1.9059828790321607e-14,1.0658141036401503e-14,0.0
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap10,-1,37,0.07731585552752879,0.3217618054340283,56.75675675675676
data1,fusion,bounded_tracking_gap10,guarded_fusion_gap15,-1,37,0.07731585552752879,0.3217618054340283,56.75675675675676
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap10,-1,37,0.07731585552750962,0.32176180543401944,56.75675675675676
data1,fusion,bounded_tracking_gap15,guarded_fusion_gap15,-1,37,0.07731585552750962,0.32176180543401944,56.75675675675676
data1,fusion,guarded_fusion_gap10,guarded_fusion_gap15,-1,37,0.0,0.0,0.0
data1,pos,trimmed_gap10,trimmed_gap15,-1,38,-2.2601803469737396e-14,-1.021405182655144e-14,0.0
data1,pos,trimmed_gap10,bounded_tracking_gap10,-1,38,-0.7690847115252898,-1.058790302135927,36.84210526315789
data1,pos,trimmed_gap10,bounded_tracking_gap15,-1,38,-0.769084711525242,-1.0587903021358236,36.84210526315789
data1,pos,trimmed_gap10,guarded_fusion_gap10,-1,38,-0.769084711525242,-1.0587903021358236,36.84210526315789
data1,pos,trimmed_gap10,guarded_fusion_gap15,-1,38,-0.769084711525242,-1.0587903021358236,36.84210526315789
data1,pos,trimmed_gap15,bounded_tracking_gap10,-1,38,-0.7690847115252673,-1.0587903021359306,36.84210526315789
data1,pos,trimmed_gap15,bounded_tracking_gap15,-1,38,-0.7690847115252196,-1.0587903021358271,36.84210526315789
data1,pos,trimmed_gap15,guarded_fusion_gap10,-1,38,-0.7690847115252196,-1.0587903021358271,36.84210526315789
data1,pos,trimmed_gap15,guarded_fusion_gap15,-1,38,-0.7690847115252196,-1.0587903021358271,36.84210526315789
data1,pos,bounded_tracking_gap10,bounded_tracking_gap15,-1,38,4.798500778011466e-14,2.842170943040401e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap10,-1,38,4.798500778011466e-14,2.842170943040401e-14,0.0
data1,pos,bounded_tracking_gap10,guarded_fusion_gap15,-1,38,4.798500778011466e-14,2.842170943040401e-14,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap10,-1,38,0.0,0.0,0.0
data1,pos,bounded_tracking_gap15,guarded_fusion_gap15,-1,38,0.0,0.0,0.0
data1,pos,guarded_fusion_gap10,guarded_fusion_gap15,-1,38,0.0,0.0,0.0
data1,chrom,trimmed_gap10,trimmed_gap15,-1,38,3.5199913159694434e-14,3.108624468950438e-14,0.0
data1,chrom,trimmed_gap10,bounded_tracking_gap10,-1,38,-1.798084930206383,-1.7454942411886707,18.421052631578945
data1,chrom,trimmed_gap10,bounded_tracking_gap15,-1,38,-1.7980849302063107,-1.7454942411885832,18.421052631578945
data1,chrom,trimmed_gap10,guarded_fusion_gap10,-1,38,-1.7980849302063107,-1.7454942411885832,18.421052631578945
data1,chrom,trimmed_gap10,guarded_fusion_gap15,-1,38,-1.7980849302063107,-1.7454942411885832,18.421052631578945
data1,chrom,trimmed_gap15,bounded_tracking_gap10,-1,38,-1.7980849302064172,-1.7454942411886858,18.421052631578945
data1,chrom,trimmed_gap15,bounded_tracking_gap15,-1,38,-1.798084930206346,-1.7454942411885983,18.421052631578945
data1,chrom,trimmed_gap15,guarded_fusion_gap10,-1,38,-1.798084930206346,-1.7454942411885983,18.421052631578945
data1,chrom,trimmed_gap15,guarded_fusion_gap15,-1,38,-1.798084930206346,-1.7454942411885983,18.421052631578945
data1,chrom,bounded_tracking_gap10,bounded_tracking_gap15,-1,38,7.184895953047855e-14,6.128431095930864e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap10,-1,38,7.184895953047855e-14,6.128431095930864e-14,0.0
data1,chrom,bounded_tracking_gap10,guarded_fusion_gap15,-1,38,7.184895953047855e-14,6.128431095930864e-14,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap10,-1,38,0.0,0.0,0.0
data1,chrom,bounded_tracking_gap15,guarded_fusion_gap15,-1,38,0.0,0.0,0.0
