variant,case,Nplanned,Nref,Noutput,Nvalid,Nwithin5,MAE_bpm,RMSE_bpm,Bias_bpm,P5_valid_pct,R5_all_reference_pct,HR_coverage_pct,common_primary_secondary_windows,primary_secondary_mean_abs_difference_bpm
fusion_motion_local,data2,37,37,33,33,0,21.051515151515154,21.817806183635117,-21.051515151515154,0.0,0.0,89.1891891891892,33,0.5757575757575758
fusion_motion_local,data3,65,65,61,61,0,38.64098360655738,42.14104926063049,-38.64098360655738,0.0,0.0,93.84615384615384,61,4.852459016393443
fusion_motion_local,data4,50,50,46,46,45,2.491304347826087,2.812472222085047,-0.15652173913043485,97.82608695652173,90.0,92.0,46,0.8913043478260869
fusion_motion_local,data5,53,53,49,49,5,77.13061224489795,81.16868804143225,77.13061224489795,10.204081632653061,9.433962264150944,92.45283018867924,49,18.20408163265306
fusion_motion_local,data6,62,62,37,37,0,44.670270270270265,51.95637983352386,22.043243243243246,0.0,0.0,59.67741935483871,37,18.864864864864863
fusion_nomotion_dp,data1,42,42,38,38,0,44.939473684210526,56.3903803853104,33.84473684210526,0.0,0.0,90.47619047619048,38,46.26315789473684
fusion_nomotion_dp,data2,37,37,33,33,0,21.051515151515154,21.817806183635117,-21.051515151515154,0.0,0.0,89.1891891891892,33,0.06060606060606061
fusion_nomotion_dp,data3,65,65,61,61,0,38.64098360655738,42.14104926063049,-38.64098360655738,0.0,0.0,93.84615384615384,61,0.4426229508196721
fusion_nomotion_dp,data4,50,50,46,46,45,2.491304347826087,2.812472222085047,-0.15652173913043485,97.82608695652173,90.0,92.0,46,0.0
fusion_nomotion_dp,data5,53,53,49,49,5,77.13061224489795,81.16868804143225,77.13061224489795,10.204081632653061,9.433962264150944,92.45283018867924,49,9.244897959183673
fusion_nomotion_dp,data6,62,62,37,37,0,44.670270270270265,51.95637983352386,22.043243243243246,0.0,0.0,59.67741935483871,37,50.891891891891895
fusion_motion_dp,data1,42,42,38,38,0,44.939473684210526,56.3903803853104,33.84473684210526,0.0,0.0,90.47619047619048,38,0.0
fusion_motion_dp,data2,37,37,33,33,0,21.051515151515154,21.817806183635117,-21.051515151515154,0.0,0.0,89.1891891891892,33,0.0
fusion_motion_dp,data3,65,65,61,61,0,38.64098360655738,42.14104926063049,-38.64098360655738,0.0,0.0,93.84615384615384,61,0.0
fusion_motion_dp,data4,50,50,46,46,45,2.491304347826087,2.812472222085047,-0.15652173913043485,97.82608695652173,90.0,92.0,46,0.0
fusion_motion_dp,data5,53,53,49,49,5,77.13061224489795,81.16868804143225,77.13061224489795,10.204081632653061,9.433962264150944,92.45283018867924,49,0.0
fusion_motion_dp,data6,62,62,37,37,0,44.670270270270265,51.95637983352386,22.043243243243246,0.0,0.0,59.67741935483871,37,0.0
