variant,case,shift_s,Nplanned,Noutput,Nref,Nvalid,Nwithin5,Nwithin10,hr_output_coverage_pct,paired_reference_coverage_pct,MAE_bpm,RMSE_bpm,Bias_bpm,MAPE_pct,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct,P95_abs_error_bpm,Max_abs_error_bpm,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm
late_psd_cluster,data1,2,42,36,42,36,0,2,85.71428571428571,85.71428571428571,66.73194444444444,71.42030474980876,59.8763888888889,62.28909806229712,0.0,5.555555555555555,0.0,4.761904761904762,82.95,83.8,-17.512172020187194,137.264949797965
late_psd_cluster,data1,5,42,36,42,36,0,2,85.71428571428571,85.71428571428571,65.9375,70.42317474856318,58.69305555555555,60.865362270574096,0.0,5.555555555555555,0.0,4.761904761904762,82.3,83.5,-18.666671904179232,136.05278301529034
late_psd_cluster,data2,-5,37,32,37,32,3,5,86.48648648648648,86.48648648648648,20.65,22.7038955908452,-15.15,26.362919068208207,9.375,15.625,8.108108108108109,13.513513513513514,29.86,45.900000000000006,-48.82371194078502,18.52371194078502
late_psd_cluster,data2,-2,37,32,37,32,3,5,86.48648648648648,86.48648648648648,21.334375,23.34504096162609,-15.584374999999998,27.078062433471285,9.375,15.625,8.108108108108109,13.513513513513514,31.45,47.1,-50.19732803481519,19.028578034815197
late_psd_cluster,data2,-1,37,32,37,32,3,5,86.48648648648648,86.48648648648648,21.49375,23.502646127617204,-15.7,27.242319190628567,9.375,15.625,8.108108108108109,13.513513513513514,31.86,47.5,-50.52802601539503,19.128026015395022
late_psd_cluster,data2,0,37,32,37,32,3,5,86.48648648648648,86.48648648648648,21.63125,23.638349403035736,-15.80625,27.380439144217927,9.375,15.625,8.108108108108109,13.513513513513514,32.16,47.8,-50.80746206288387,19.194962062883874
late_psd_cluster,data2,1,37,32,37,32,2,5,86.48648648648648,86.48648648648648,21.715625000000003,23.733625934525893,-15.896875,27.45636131859327,6.25,15.625,5.405405405405405,13.513513513513514,32.37,48.0,-50.99088671576786,19.19713671576785
late_psd_cluster,data2,2,37,32,37,32,2,5,86.48648648648648,86.48648648648648,21.775,23.80282940114473,-15.975,27.50523957323108,6.25,15.625,5.405405405405405,13.513513513513514,32.379999999999995,48.1,-51.11416441623175,19.16416441623175
late_psd_cluster,data2,5,37,32,37,32,2,6,86.48648648648648,86.48648648648648,21.746875,23.838184966561528,-16.128125,27.41911166417717,6.25,18.75,5.405405405405405,16.216216216216218,31.700000000000003,47.900000000000006,-51.084478109178136,18.828228109178134
late_psd_cluster,data3,-5,65,58,65,58,1,3,89.23076923076923,89.23076923076923,38.32155172413793,41.17575816357032,-37.78706896551724,37.014038651243965,1.7241379310344829,5.172413793103448,1.5384615384615383,4.615384615384615,58.575,60.2,-70.12854627966391,-5.44559165137057
late_psd_cluster,data3,-2,65,58,65,58,1,3,89.23076923076923,89.23076923076923,38.135344827586216,41.25816272423325,-37.55258620689656,36.804098394077165,1.7241379310344829,5.172413793103448,1.5384615384615383,4.615384615384615,59.6975,62.900000000000006,-71.339868500715,-3.7653039130781063
late_psd_cluster,data3,-1,65,58,65,58,1,4,89.23076923076923,89.23076923076923,38.07327586206897,41.26423213205688,-37.466379310344834,36.7436125851068,1.7241379310344829,6.896551724137931,1.5384615384615383,6.153846153846154,59.5625,63.8,-71.65436533072136,-3.2783932899682995
late_psd_cluster,data3,0,65,58,65,58,1,3,89.23076923076923,89.23076923076923,38.01465517241379,41.25972769311917,-37.38017241379311,36.69144002601704,1.7241379310344829,5.172413793103448,1.5384615384615383,4.615384615384615,59.32749999999999,64.6,-71.91402963554319,-2.846315192043022
late_psd_cluster,data3,1,65,58,65,58,1,3,89.23076923076923,89.23076923076923,37.96465517241379,41.25625919074333,-37.29568965517241,36.64884653202235,1.7241379310344829,5.172413793103448,1.5384615384615383,4.615384615384615,59.20499999999999,65.4,-72.16874055646214,-2.42263875388268
late_psd_cluster,data3,2,65,58,65,58,1,3,89.23076923076923,89.23076923076923,37.92672413793103,41.25220527020552,-37.21982758620689,36.61993405844206,1.7241379310344829,5.172413793103448,1.5384615384615383,4.615384615384615,60.045,66.1,-72.38969193926091,-2.049963233152866
late_psd_cluster,data3,5,65,58,65,58,1,3,89.23076923076923,89.23076923076923,37.92844827586206,41.2720865635643,-37.09396551724138,36.64614117821277,1.7241379310344829,5.172413793103448,1.5384615384615383,4.615384615384615,62.26,67.6,-72.86958260100582,-1.3183484334769418
late_psd_cluster,data4,-5,50,46,50,46,42,46,92.0,92.0,2.325,3.00937845670035,-0.0315217391304351,2.990215209341868,91.30434782608695,100.0,84.0,92.0,5.650000000000002,6.200000000000003,-5.99475382663706,5.931710348376191
late_psd_cluster,data4,-2,50,46,50,46,42,46,92.0,92.0,2.6880434782608704,3.169221890512615,0.0880434782608695,3.4890846560874573,91.30434782608695,100.0,84.0,92.0,5.350000000000005,5.799999999999997,-6.189846849095834,6.365933805617574
late_psd_cluster,data4,-1,50,46,50,46,42,46,92.0,92.0,2.757608695652174,3.2057099193402583,0.1315217391304347,3.58594273067038,91.30434782608695,100.0,84.0,92.0,5.175000000000001,6.0,-6.215750588108666,6.478794066369535
late_psd_cluster,data4,0,50,46,50,46,44,46,92.0,92.0,2.775,3.211976568759628,0.1749999999999999,3.612998085136663,95.65217391304348,100.0,88.0,92.0,4.975000000000001,6.099999999999994,-6.180585228757459,6.530585228757459
late_psd_cluster,data4,1,50,46,50,46,44,46,92.0,92.0,2.748913043478261,3.1760739368241904,0.2184782608695651,3.5817317643087367,95.65217391304348,100.0,88.0,92.0,5.0,6.099999999999994,-6.060505750764601,6.497462272503731
late_psd_cluster,data4,2,50,46,50,46,42,46,92.0,92.0,2.692391304347826,3.091336069671522,0.2576086956521738,3.509453685145979,91.30434782608695,100.0,84.0,92.0,5.099999999999994,6.0,-5.847055163784721,6.362272555089068
late_psd_cluster,data4,5,50,46,50,46,46,46,92.0,92.0,2.225,2.5487102450148145,0.325,2.898048005624344,100.0,100.0,92.0,92.0,4.574999999999996,5.0,-4.6844415878640815,5.334441587864082
late_psd_cluster,data5,-5,53,49,53,49,0,0,92.45283018867924,92.45283018867924,88.11734693877551,88.29419544329963,88.11734693877551,92.8600461073194,0.0,0.0,0.0,0.0,95.8,96.5,77.05626302564416,99.17843085190688
late_psd_cluster,data5,-2,53,49,53,49,0,0,92.45283018867924,92.45283018867924,87.16020408163264,87.35162843242202,87.16020408163264,91.01306619665044,0.0,0.0,0.0,0.0,96.5,96.8,75.71444702206395,98.60596114120132
late_psd_cluster,data5,-1,53,49,53,49,0,0,92.45283018867924,92.45283018867924,86.81938775510206,87.01492394868778,86.81938775510206,90.35646783273238,0.0,0.0,0.0,0.0,96.34,96.8,75.27383254974272,98.3649429604614
