variant,scope,common_windows,new_windows,lost_windows,common_A_MAE_bpm,common_B_MAE_bpm,common_delta_MAE_bpm,common_A_RMSE_bpm,common_B_RMSE_bpm,common_A_within5,common_B_within5,common_correct_to_wrong,common_wrong_to_correct,new_B_MAE_bpm,lost_A_MAE_bpm,new_B_within5,lost_A_within5
fusion_motion_local,pooled,260,4,0,25.202307692307695,35.823076923076925,10.62076923076923,37.98560253569766,46.80139544270678,93,56,45,8,26.625000000000004,,0,0
fusion_motion_local,data1,37,1,0,13.097297297297297,45.54594594594595,32.44864864864866,13.722106843200729,56.72550310665127,0,0,0,0,6.299999999999997,,0,0
fusion_motion_local,data2,33,0,0,3.0151515151515142,21.142424242424244,18.12727272727273,3.8112671876631223,21.98866788033134,29,0,29,0,,,0,0
fusion_motion_local,data3,59,2,0,32.87118644067797,40.59661016949152,7.725423728813553,39.71790784255675,43.32111474847857,11,0,11,0,32.95,,0,0
fusion_motion_local,data4,46,0,0,2.556521739130435,3.295652173913044,0.7391304347826089,2.891742366298125,3.5023594531587467,45,44,1,0,,,0,0
fusion_motion_local,data5,49,0,0,60.72244897959183,60.60816326530612,-0.11428571428571388,70.9219231526717,70.82868668232425,8,12,4,8,,,0,0
fusion_motion_local,data6,36,1,0,26.002777777777776,39.291666666666664,13.288888888888888,27.781553632261502,46.36022301259754,0,0,0,0,34.30000000000001,,0,0
fusion_nomotion_dp,pooled,260,4,0,25.202307692307695,49.82,24.617692307692305,37.98560253569766,59.58989201843909,93,45,48,0,52.325,,0,0
fusion_nomotion_dp,data1,37,1,0,13.097297297297297,80.03783783783783,66.94054054054052,13.722106843200729,80.10644270071016,0,0,0,0,82.7,,0,0
fusion_nomotion_dp,data2,33,0,0,3.0151515151515142,20.990909090909092,17.975757575757576,3.8112671876631223,21.754379566032913,29,0,29,0,,,0,0
fusion_nomotion_dp,data3,59,2,0,32.87118644067797,39.24067796610169,6.369491525423726,39.71790784255675,42.79680409420739,11,0,11,0,32.45,,0,0
fusion_nomotion_dp,data4,46,0,0,2.556521739130435,2.491304347826087,-0.06521739130434812,2.891742366298125,2.812472222085047,45,45,0,0,,,0,0
fusion_nomotion_dp,data5,49,0,0,60.72244897959183,86.37551020408162,25.65306122448979,70.9219231526717,86.58729698980099,8,0,8,0,,,0,0
fusion_nomotion_dp,data6,36,1,0,26.002777777777776,73.2472222222222,47.244444444444426,27.781553632261502,73.48535946401539,0,0,0,0,61.69999999999999,,0,0
fusion_motion_dp,pooled,260,4,0,25.202307692307695,39.237692307692306,14.035384615384611,37.98560253569766,50.561864619950015,93,50,48,5,26.125000000000004,,0,0
fusion_motion_dp,data1,37,1,0,13.097297297297297,45.983783783783785,32.88648648648649,13.722106843200729,57.13794592794586,0,0,0,0,6.299999999999997,,0,0
fusion_motion_dp,data2,33,0,0,3.0151515151515142,21.051515151515154,18.03636363636364,3.8112671876631223,21.817806183635117,29,0,29,0,,,0,0
fusion_motion_dp,data3,59,2,0,32.87118644067797,38.85084745762712,5.9796610169491515,39.71790784255675,42.4307651416808,11,0,11,0,32.45,,0,0
fusion_motion_dp,data4,46,0,0,2.556521739130435,2.491304347826087,-0.06521739130434812,2.891742366298125,2.812472222085047,45,45,0,0,,,0,0
fusion_motion_dp,data5,49,0,0,60.72244897959183,77.13061224489795,16.408163265306115,70.9219231526717,81.16868804143225,8,5,8,5,,,0,0
fusion_motion_dp,data6,36,1,0,26.002777777777776,44.98611111111111,18.98333333333333,27.781553632261502,52.37984398177944,0,0,0,0,33.30000000000001,,0,0
