time_s,forehead_logpos,forehead_logpos_raw,forehead_logchrom,forehead_logchrom_raw,forehead_observed,forehead_interpolated,left_cheek_logpos,left_cheek_logpos_raw,left_cheek_logchrom,left_cheek_logchrom_raw,left_cheek_observed,left_cheek_interpolated,right_cheek_logpos,right_cheek_logpos_raw,right_cheek_logchrom,right_cheek_logchrom_raw,right_cheek_observed,right_cheek_interpolated
3.0999969,-0.6491265893724989,-0.0019437338629326158,-0.2980242744571056,0.00030736060515160814,True,False,-0.6042590156538347,-0.0033198700764678684,-0.08480437829239224,-0.0011695116071703457,True,False,1.4359612262786683,0.005038244315334681,-0.7317258510737461,-0.001624675498217457,True,False
3.1333302,-0.6374627348273525,-0.0044036875279321475,-0.4830807236558901,-0.0019779787739048643,True,False,-0.4740451684818914,-0.004222998734972847,-0.06276089064068363,0.0011957262675989368,True,False,1.3733068604908105,0.004061727826437822,-0.5303872384656282,-0.00022762904581433835,True,False
3.1666635,-0.7545459229707854,-0.002192515251125526,-0.33956357988137853,-0.004640540291945172,True,False,-0.3618418272392282,-0.00765630806624992,0.1201685037920756,0.005245734769617604,True,False,0.9158035969022892,0.0023892915019441876,-0.03853066821218527,-0.0004451418931682153,True,False
3.1999968,-0.8870014980944187,-0.001955352538750046,0.13247027321147722,-0.0037813520509677252,True,False,-0.27572523014990935,-0.003214601076632527,0.39803260527422824,0.0027379171638345955,True,False,0.15098244706038763,0.0019866370898501172,0.6182041101998396,0.005637986789420415,True,False
3.2333301,-0.915120081220849,-0.0020816743849522657,0.7675733069533033,0.0013903687208873833,True,False,-0.20117681344729751,-0.0045622923735733215,0.6561128075045568,0.0063202539564692186,True,False,-0.720318510050621,-0.003262775762730681,1.2339368006416984,0.012043015290652463,True,False
3.2666634,-0.7478411317007851,-0.003098877359485049,1.281691472747643,0.00525966060798787,True,False,-0.1080718499110315,-0.003319393217287097,0.7721871232290267,0.0050197244015877975,True,False,-1.4505943121038982,-0.0049062977098386865,1.598590688834097,0.008719717010893493,True,False
3.2999967,-0.35348147894156345,-0.003233370030371339,1.3954792031005407,0.00677399551790584,True,False,0.03482554262897119,-0.003978202187954174,0.660923654744374,0.005201515049097165,True,False,-1.8293763615276208,-0.004321784595150484,1.574323398453381,0.006846740012923259,True,False
3.33333,0.2193209362025103,-0.0017482093348885508,0.9728439367149951,0.00449817757375216,True,False,0.24106969231886868,-0.004738027066861878,0.30913351278234913,0.0062584325209458684,True,False,-1.7521396257240702,-0.00588031850237027,1.1426946589418117,0.008032501778925982,True,False
3.3666633,0.844682835319936,0.0033966199571379865,0.09934916041027798,-0.0010136724643500516,True,False,0.4922956460607821,-0.0004122995388409456,-0.2099746611859001,0.001092687801999932,True,False,-1.2508718063044455,-0.000599326947517886,0.41347008501210514,0.003958271394457021,True,False
3.3999966,1.3551466460810524,0.0036836851671323916,-0.9418384735727209,-0.0023333849564193612,True,False,0.7387586778304247,-0.0002170853068643553,-0.7523877875163364,-0.0004845787519337775,True,False,-0.4811178982850552,0.0012718246239626268,-0.4020010443541252,-0.0007409508617258741,True,False
