case,comparison,before,after,estimator,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,common_delta_MAE_bpm,own_delta_MAE_bpm,delta_C_out_pct,delta_R5_all_reference_pct,added_Nwithin5,lost_Nwithin5,common_Nwithin5_delta
kaggle_full,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,none,0,323,93,0,,,22.195704057279244,,0,0,0
kaggle_full,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,none,0,416,0,0,,,0.0,,0,0,0
kaggle_full,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,none,0,416,0,0,,,0.0,,0,0,0
synthetic72,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
synthetic72,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
synthetic72,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
synthetic72,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
synthetic72,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
synthetic72,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,synthetic_72bpm_modulation,0,7,0,0,0.0,0.0,0.0,0.0,0,0,0
data1,v21/fusion/local_peak->trimmed_gap10/fusion/local_peak,v21/fusion/local_peak,trimmed_gap10/fusion/local_peak,local_peak,estimated_alignment_Polar_device_HR,0,36,0,2,8.172222222222219,8.368713450292395,-4.761904761904773,0.0,0,0,0
data1,v21/fusion/offline_ridge->trimmed_gap10/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,offline_ridge,estimated_alignment_Polar_device_HR,0,36,0,2,-0.16666666666666607,0.04883040935672511,-4.761904761904773,0.0,0,0,0
data1,v21/fusion/local_peak->trimmed_gap15/fusion/local_peak,v21/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,estimated_alignment_Polar_device_HR,0,36,0,2,8.172222222222219,8.368713450292395,-4.761904761904773,0.0,0,0,0
data1,v21/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,v21/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,estimated_alignment_Polar_device_HR,0,36,0,2,-0.16666666666666607,0.04883040935672511,-4.761904761904773,0.0,0,0,0
data1,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,estimated_alignment_Polar_device_HR,0,36,0,0,0.0,0.0,0.0,0.0,0,0,0
data1,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,estimated_alignment_Polar_device_HR,0,36,0,0,0.0,0.0,0.0,0.0,0,0,0
