record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,cluster_index,patch_ids_json,regions_json,patch_count,region_count,qualified,cluster_score,selected,coefficient,polarity,medoid_channel
channel,18,baseline/left_cheek_1/pos,left_cheek_1,left_cheek,baseline,pos,eligible,1.0,0.9999999878777677,0.6933333333333334,0.0,False,156.0,0.32966814916736725,10.982134848617306,0.172134478196503,,,,,,,,,,,
channel,18,baseline/left_cheek_2/chrom,left_cheek_2,left_cheek,baseline,chrom,eligible,1.0,0.9999999894138568,0.6533333333333333,0.0,False,56.0,0.1694515449288045,44.14409247416788,0.03621785391011953,,,,,,,,,,,
channel,18,baseline/left_cheek_2/pos,left_cheek_2,left_cheek,baseline,pos,eligible,1.0,0.9999999894138568,0.6533333333333333,0.0,True,73.0,0.22031999483857304,14.839748014840822,0.09850464827765842,,,,,,,,,,,
channel,18,baseline/left_cheek_3/chrom,left_cheek_3,left_cheek,baseline,chrom,eligible,1.0,0.9999999881669404,0.7033333333333334,0.0,False,50.0,0.2694398921447798,10.17619116944465,0.14579955056449523,,,,,,,,,,,
channel,18,baseline/left_cheek_3/pos,left_cheek_3,left_cheek,baseline,pos,eligible,1.0,0.9999999881669404,0.7033333333333334,0.0,False,49.0,0.21506027850725937,8.673074077009694,0.12483500675678937,,,,,,,,,,,
channel,18,baseline/right_cheek_0/chrom,right_cheek_0,right_cheek,baseline,chrom,eligible,1.0,0.9999999889881401,0.44666666666666666,0.0,False,92.0,0.2658542262819777,14.857954712677383,0.11878234026055169,,,,,,,,,,,
channel,18,baseline/right_cheek_0/pos,right_cheek_0,right_cheek,baseline,pos,eligible,1.0,0.9999999889881401,0.44666666666666666,0.0,True,91.0,0.3099491397501873,13.54051395483684,0.1456270489927973,,,,,,,,,,,
channel,18,baseline/right_cheek_1/chrom,right_cheek_1,right_cheek,baseline,chrom,eligible,1.0,0.999999988134715,0.03333333333333333,0.0,False,111.0,0.20500802014411396,18.47184929183625,0.08073340801106071,,,,,,,,,,,
channel,18,baseline/right_cheek_1/pos,right_cheek_1,right_cheek,baseline,pos,eligible,1.0,0.999999988134715,0.03333333333333333,0.0,True,110.0,0.2601189969174919,16.031729659290548,0.11135338421670919,,,,,,,,,,,
channel,18,baseline/right_cheek_2/chrom,right_cheek_2,right_cheek,baseline,chrom,eligible,1.0,0.9999999875570078,0.49333333333333335,0.0,True,57.0,0.22392197028269514,8.96243916174344,0.12818468417054474,,,,,,,,,,,
