case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
synthetic72,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,0,synthetic_72bpm_modulation,11,11,7,7,3,480,80.0,16.0,480,16.0,480,0,0.0,9.2530067180942,9.185235771306818,,7.0,0.0,7.0,fusion proposal provenance
synthetic72,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,0,synthetic_72bpm_modulation,11,11,7,7,7,480,80.0,16.0,480,16.0,480,0,0.0,9.746257102178982,9.99875517668656,,7.0,0.0,7.0,fusion proposal provenance
synthetic72,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,0,synthetic_72bpm_modulation,11,11,7,7,3,480,80.0,16.0,480,16.0,480,0,0.0,9.253006718094197,9.185235771306811,,7.0,0.0,7.0,fusion proposal provenance
synthetic72,cpace,cpace,primary,own,0,synthetic_72bpm_modulation,11,11,7,7,7,504,84.0,16.8,504,16.8,504,0,0.0,10.250935621337735,10.24785550732674,,,,,not a comparable multi-ROI overlap-fusion generation metric
synthetic72,cpace,cpace,primary,strict_common_all6,0,synthetic_72bpm_modulation,11,11,7,7,3,504,84.0,16.8,504,16.8,504,0,0.0,10.258449475678821,10.251599628868433,,,,,not a comparable multi-ROI overlap-fusion generation metric
synthetic72,rhythm,rhythm,primary,own,0,synthetic_72bpm_modulation,11,11,3,3,3,384,64.0,12.8,384,12.8,384,0,0.0,6.64492752348248,6.454379832963743,,,,,not a comparable multi-ROI overlap-fusion generation metric
synthetic72,rhythm,rhythm,primary,strict_common_all6,0,synthetic_72bpm_modulation,11,11,3,3,3,384,64.0,12.8,384,12.8,384,0,0.0,6.64492752348248,6.454379832963743,,,,,not a comparable multi-ROI overlap-fusion generation metric
synthetic72,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,0,synthetic_72bpm_modulation,11,11,7,7,7,504,84.0,16.8,504,16.8,504,0,0.0,10.279986723292192,10.450661781692292,,,,,not a comparable multi-ROI overlap-fusion generation metric
synthetic72,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,0,synthetic_72bpm_modulation,11,11,7,7,3,504,84.0,16.8,504,16.8,504,0,0.0,10.147113296269245,10.249568457436757,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,v21/fusion,v21/fusion,baseline,own,0,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.375341865976969,-13.17358341858892,,31.0,7.0,35.0,fusion proposal provenance
