case,wave,system,role,scope,shift_s,reference_kind,Nplanned,Nref,Naccepted,Nfinite_waveform_windows,Nscored,finite_sample_count,finite_sample_pct,finite_sample_duration_s,longest_finite_run_samples,longest_finite_run_s,observed_samples,interpolated_samples,interpolated_all_samples_pct,snr_mean_db,snr_median_db,r_wave,waveform_generated_count,neighbor_covered_count,proposal_accepted_count,generation_applicability
data1,rhythm,rhythm,primary,own,1,estimated_alignment_Polar_device_HR,42,42,35,35,35,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-11.91304694720723,-11.958636313973244,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,strict_common_all6,1,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-12.028443807718089,-12.432194232146792,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,1,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.838905556733542,-13.47344517040747,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,1,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.521739189389379,-13.384937801574745,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,v21/fusion,v21/fusion,baseline,own,2,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-13.85768778679363,-13.805010867834397,,31.0,7.0,35.0,fusion proposal provenance
data1,v21/fusion,v21/fusion,baseline,strict_common_all6,2,estimated_alignment_Polar_device_HR,42,42,38,38,33,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-14.001155910080094,-13.657982281738427,,31.0,7.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,own,2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.796962421412983,-14.738102613054819,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap10/fusion,trimmed_gap10/fusion,baseline,strict_common_all6,2,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.777616692671064,-15.160631823999871,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,own,2,estimated_alignment_Polar_device_HR,42,42,36,36,36,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.796962421412893,-14.7381026130547,,34.0,2.0,35.0,fusion proposal provenance
data1,trimmed_gap15/fusion,trimmed_gap15/fusion,baseline,strict_common_all6,2,estimated_alignment_Polar_device_HR,42,42,36,36,33,1350,86.81672025723472,44.999955,1350,44.999955,1337,13,0.8360128617363344,-13.777616692670978,-15.16063182399974,,34.0,2.0,35.0,fusion proposal provenance
data1,cpace,cpace,primary,own,2,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-45.22336879461509,-44.41787484078252,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace,cpace,primary,strict_common_all6,2,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-44.196191436724476,-44.28291610272717,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,own,2,estimated_alignment_Polar_device_HR,42,42,35,35,35,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-12.007527014618947,-12.067725908798097,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,rhythm,rhythm,primary,strict_common_all6,2,estimated_alignment_Polar_device_HR,42,42,35,35,33,1344,86.43086816720256,44.7999552,1344,44.7999552,1331,13,0.8360128617363344,-12.129568824163222,-12.523285263408388,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,own,2,estimated_alignment_Polar_device_HR,42,42,38,38,38,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.924656041382583,-13.585594819096027,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,cpace_no_homodyne,cpace_no_homodyne,diagnostic,strict_common_all6,2,estimated_alignment_Polar_device_HR,42,42,38,38,33,1431,92.0257234726688,47.6999523,1431,47.6999523,1418,13,0.8360128617363344,-13.620002486198098,-13.376233183175572,,,,,not a comparable multi-ROI overlap-fusion generation metric
data1,v21/fusion,v21/fusion,baseline,own,5,estimated_alignment_Polar_device_HR,42,42,38,38,38,1410,90.67524115755627,46.999953,1410,46.999953,1397,13,0.8360128617363344,-14.508658972391704,-13.949035993001832,,31.0,7.0,35.0,fusion proposal provenance
