case,comparison,before,after,estimator,comparison_role,reference_kind,shift_s,Ncommon_output,Nadded_output,Nlost_output,common_delta_MAE_bpm,own_delta_MAE_bpm,delta_C_out_pct,delta_R5_all_reference_pct,added_Nwithin5,lost_Nwithin5,common_Nwithin5_delta
ubfc,v21/fusion/local_peak->rhythm/local_peak,v21/fusion/local_peak,rhythm/local_peak,local_peak,primary,paired_UBFC_device_HR,0,36,0,4,-0.25173946492417665,-0.2717213622080674,-9.090909090909093,6.818181818181813,0,3,6
ubfc,v21/fusion/offline_ridge->rhythm/offline_ridge,v21/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,36,0,4,-0.3143999149466574,-0.2955296465055013,-9.090909090909093,-6.818181818181827,0,4,1
ubfc,v21/fusion/local_peak->cpace_no_homodyne/local_peak,v21/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.16789945154800856,0.16789945154800856,0.0,4.545454545454547,0,0,2
ubfc,v21/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,v21/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.19505554046553408,0.19505554046553408,0.0,-11.363636363636374,0,0,-5
ubfc,trimmed_gap10/fusion/local_peak->trimmed_gap15/fusion/local_peak,trimmed_gap10/fusion/local_peak,trimmed_gap15/fusion/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,0.0,0.0,0.0,0.0,0,0,0
ubfc,trimmed_gap10/fusion/offline_ridge->trimmed_gap15/fusion/offline_ridge,trimmed_gap10/fusion/offline_ridge,trimmed_gap15/fusion/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,40,0,0,0.0,0.0,0.0,0.0,0,0,0
ubfc,trimmed_gap10/fusion/local_peak->cpace/local_peak,trimmed_gap10/fusion/local_peak,cpace/local_peak,local_peak,primary,paired_UBFC_device_HR,0,40,0,0,-0.0034065743944631244,-0.0034065743944631244,0.0,4.545454545454547,0,0,2
ubfc,trimmed_gap10/fusion/offline_ridge->cpace/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,40,0,0,-0.023837749817179343,-0.023837749817179343,0.0,0.0,0,0,0
ubfc,trimmed_gap10/fusion/local_peak->rhythm/local_peak,trimmed_gap10/fusion/local_peak,rhythm/local_peak,local_peak,primary,paired_UBFC_device_HR,0,36,0,4,-0.4143017159713671,-0.39302738815053884,-9.090909090909093,4.545454545454547,0,4,6
ubfc,trimmed_gap10/fusion/offline_ridge->rhythm/offline_ridge,trimmed_gap10/fusion/offline_ridge,rhythm/offline_ridge,offline_ridge,primary,paired_UBFC_device_HR,0,36,0,4,-0.38855236090797707,-0.3622668478706892,-9.090909090909093,0.0,0,4,4
ubfc,trimmed_gap10/fusion/local_peak->cpace_no_homodyne/local_peak,trimmed_gap10/fusion/local_peak,cpace_no_homodyne/local_peak,local_peak,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.04659342560553714,0.04659342560553714,0.0,2.2727272727272805,0,0,1
ubfc,trimmed_gap10/fusion/offline_ridge->cpace_no_homodyne/offline_ridge,trimmed_gap10/fusion/offline_ridge,cpace_no_homodyne/offline_ridge,offline_ridge,diagnostic,paired_UBFC_device_HR,0,40,0,0,0.12831833910034618,0.12831833910034618,0.0,-4.545454545454547,0,0,-2
