case,branch,system,role,estimator,Nplanned,Noutput,output_runs,internal_breaks,output_state_transitions,longest_run_windows,longest_run_center_span_s,longest_run_support_union_s,output_support_union_s,longest_rejected_run_windows,longest_run_first_window_index,longest_run_last_window_index
ubfc,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,cpace/local_peak,cpace,primary,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,cpace/offline_ridge,cpace,primary,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,rhythm/local_peak,rhythm,primary,local_peak,44,36,1,0,2,36,34.68412805776469,44.696393595621885,44.696393595621885,6,2,37
ubfc,rhythm/offline_ridge,rhythm,primary,offline_ridge,44,36,1,0,2,36,34.68412805776469,44.696393595621885,44.696393595621885,6,2,37
ubfc,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
ubfc,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,44,40,1,0,2,40,38.64802840722351,48.6602939450807,48.6602939450807,2,2,41
kaggle_full,v21/fusion/local_peak,v21/fusion,baseline,local_peak,419,323,8,7,16,105,104.104,114.114,395.395,16,184,288
kaggle_full,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,419,323,8,7,16,105,104.104,114.114,395.395,16,184,288
kaggle_full,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,cpace/local_peak,cpace,primary,local_peak,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,cpace/offline_ridge,cpace,primary,offline_ridge,419,416,1,0,2,416,415.415,425.425,425.425,2,2,417
kaggle_full,rhythm/local_peak,rhythm,primary,local_peak,419,414,1,0,2,414,413.413,423.423,423.423,3,2,415
kaggle_full,rhythm/offline_ridge,rhythm,primary,offline_ridge,419,414,1,0,2,414,413.413,423.423,423.423,3,2,415
kaggle_full,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,419,405,9,8,18,100,99.099,109.10900000000001,424.42400000000004,2,7,106
kaggle_full,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,419,405,9,8,18,100,99.099,109.10900000000001,424.42400000000004,2,7,106
synthetic72,v21/fusion/local_peak,v21/fusion,baseline,local_peak,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
synthetic72,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,11,7,1,0,2,7,6.0,16.0,16.0,2,2,8
