case,branch,system,role,estimator,reference_kind,shift_s,scope,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
synthetic72,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,cpace/local_peak,cpace,primary,local_peak,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,cpace/offline_ridge,cpace,primary,offline_ridge,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,rhythm/local_peak,rhythm,primary,local_peak,synthetic_72bpm_modulation,0,own,11,3,11,3,27.272727272727273,27.272727272727273,0.3333333333333333,0.5773502691896257,-0.3333333333333333,0.5773502691896258,-1.464939860945,0.7982731942783334,0.8999999999999999,1.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,rhythm/offline_ridge,rhythm,primary,offline_ridge,synthetic_72bpm_modulation,0,own,11,3,11,3,27.272727272727273,27.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,100.0,100.0,27.272727272727273,27.272727272727273
synthetic72,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
synthetic72,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,synthetic_72bpm_modulation,0,own,11,7,11,7,63.63636363636363,63.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,100.0,100.0,63.63636363636363,63.63636363636363
data1,v21/fusion/local_peak,v21/fusion,baseline,local_peak,estimated_alignment_Polar_device_HR,0,own,42,38,42,38,90.47619047619048,90.47619047619048,13.286842105263156,13.898172920435112,-13.286842105263156,4.131367881100646,-21.38432315222042,-5.189361058305892,20.730000000000004,21.0,0,7,0.0,18.42105263157895,0.0,16.666666666666668
data1,v21/fusion/offline_ridge,v21/fusion,baseline,offline_ridge,estimated_alignment_Polar_device_HR,0,own,42,38,42,38,90.47619047619048,90.47619047619048,13.128947368421052,13.7090538657756,-13.128947368421052,3.998709784805718,-20.96641854664026,-5.291476190201845,20.344999999999995,20.900000000000006,0,10,0.0,26.31578947368421,0.0,23.80952380952381
data1,trimmed_gap10/fusion/local_peak,trimmed_gap10/fusion,baseline,local_peak,estimated_alignment_Polar_device_HR,0,own,42,36,42,36,85.71428571428571,85.71428571428571,21.65555555555555,30.65367478423717,-3.4000000000000004,30.896675734269074,-63.95748443916738,57.15748443916738,81.725,83.5,0,5,0.0,13.88888888888889,0.0,11.904761904761905
data1,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,estimated_alignment_Polar_device_HR,0,own,42,36,42,36,85.71428571428571,85.71428571428571,13.177777777777777,13.81778242378679,-13.177777777777777,4.21555697801852,-21.440269454694075,-4.915286100861479,20.374999999999996,20.900000000000006,0,9,0.0,25.0,0.0,21.428571428571427
data1,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,estimated_alignment_Polar_device_HR,0,own,42,36,42,36,85.71428571428571,85.71428571428571,21.65555555555555,30.65367478423717,-3.4000000000000004,30.896675734269074,-63.95748443916738,57.15748443916738,81.725,83.5,0,5,0.0,13.88888888888889,0.0,11.904761904761905
data1,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,estimated_alignment_Polar_device_HR,0,own,42,36,42,36,85.71428571428571,85.71428571428571,13.177777777777777,13.81778242378679,-13.177777777777777,4.21555697801852,-21.440269454694075,-4.915286100861479,20.374999999999996,20.900000000000006,0,9,0.0,25.0,0.0,21.428571428571427
data1,cpace/local_peak,cpace,primary,local_peak,estimated_alignment_Polar_device_HR,0,own,42,38,42,38,90.47619047619048,90.47619047619048,50.10263157894737,50.57486633954813,-50.10263157894737,6.987730051025359,-63.79858247895707,-36.40668067893766,60.47500000000001,64.9,0,0,0.0,0.0,0.0,0.0
data1,cpace/offline_ridge,cpace,primary,offline_ridge,estimated_alignment_Polar_device_HR,0,own,42,38,42,38,90.47619047619048,90.47619047619048,47.681578947368415,48.05174020617885,-47.681578947368415,6.032786782115188,-59.50584104031418,-35.85731685442265,56.580000000000005,58.900000000000006,0,0,0.0,0.0,0.0,0.0
data1,rhythm/local_peak,rhythm,primary,local_peak,estimated_alignment_Polar_device_HR,0,own,42,35,42,35,83.33333333333333,83.33333333333333,46.12285714285715,57.27771693375057,36.425714285714285,44.8483217789312,-51.47699640099086,124.32842497241944,83.82,84.5,0,6,0.0,17.142857142857142,0.0,14.285714285714286
data1,rhythm/offline_ridge,rhythm,primary,offline_ridge,estimated_alignment_Polar_device_HR,0,own,42,35,42,35,83.33333333333333,83.33333333333333,81.42571428571429,81.49229411422898,81.42571428571429,3.341569097536881,74.87623885454201,87.97518971688658,85.52,86.1,0,0,0.0,0.0,0.0,0.0
data1,cpace_no_homodyne/local_peak,cpace_no_homodyne,diagnostic,local_peak,estimated_alignment_Polar_device_HR,0,own,42,38,42,38,90.47619047619048,90.47619047619048,63.9078947368421,70.06460364699515,56.97631578947368,41.324172849984784,-24.019062996496494,137.97169457544385,82.73,83.4,2,3,5.2631578947368425,7.894736842105263,4.761904761904762,7.142857142857143
data1,cpace_no_homodyne/offline_ridge,cpace_no_homodyne,diagnostic,offline_ridge,estimated_alignment_Polar_device_HR,0,own,42,38,42,38,90.47619047619048,90.47619047619048,80.47631578947369,80.54835912602277,80.47631578947369,3.4517080934584627,73.7109679262951,87.24166365265228,84.375,85.7,0,0,0.0,0.0,0.0,0.0
