case,branch,system,role,estimator,reference_kind,shift_s,scope,Ncommon_output,Nplanned,Noutput,Nref,Nvalid,C_out_pct,C_ref_pct,MAE_bpm,RMSE_bpm,Bias_bpm,SD_error_bpm_ddof1,LoA_lower_descriptive_bpm,LoA_upper_descriptive_bpm,P95_abs_error_bpm_linear,Max_abs_error_bpm,Nwithin5,Nwithin10,P5_valid_pct,P10_valid_pct,R5_all_reference_pct,R10_all_reference_pct
ubfc,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.5871693112016114,3.2384243548701663,-0.46440137810047033,3.2504155859144572,-6.835215926492807,5.906413170291866,5.647044751623458,6.343965517241372,32,36,88.88888888888889,100.0,72.72727272727273,81.81818181818181
ubfc,trimmed_gap10/fusion/offline_ridge,trimmed_gap10/fusion,baseline,offline_ridge,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.5871693112016114,3.2384243548701663,-0.46440137810047033,3.2504155859144572,-6.835215926492807,5.906413170291866,5.647044751623458,6.343965517241372,32,36,88.88888888888889,100.0,72.72727272727273,81.81818181818181
ubfc,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.7870574590370114,3.572316207987596,-0.5199569336560259,3.584407357158344,-7.54539535368638,6.505481486374328,6.193284052393729,7.343965517241372,27,36,75.0,100.0,61.36363636363637,81.81818181818181
ubfc,trimmed_gap15/fusion/local_peak,trimmed_gap15/fusion,baseline,local_peak,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.7870574590370114,3.572316207987596,-0.5199569336560259,3.584407357158344,-7.54539535368638,6.505481486374328,6.193284052393729,7.343965517241372,27,36,75.0,100.0,61.36363636363637,81.81818181818181
ubfc,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.5871693112016114,3.2384243548701663,-0.46440137810047033,3.2504155859144572,-6.835215926492807,5.906413170291866,5.647044751623458,6.343965517241372,32,36,88.88888888888889,100.0,72.72727272727273,81.81818181818181
ubfc,trimmed_gap15/fusion/offline_ridge,trimmed_gap15/fusion,baseline,offline_ridge,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.5871693112016114,3.2384243548701663,-0.46440137810047033,3.2504155859144572,-6.835215926492807,5.906413170291866,5.647044751623458,6.343965517241372,32,36,88.88888888888889,100.0,72.72727272727273,81.81818181818181
ubfc,cpace/local_peak,cpace,primary,local_peak,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.811050154154275,3.6069101961630277,-0.24217915587824812,3.6498196241424807,-7.3958256191975105,6.911467307441014,6.678912574016021,8.071924398625427,29,36,80.55555555555556,100.0,65.9090909090909,81.81818181818181
ubfc,cpace/local_peak,cpace,primary,local_peak,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.811050154154275,3.6069101961630277,-0.24217915587824812,3.6498196241424807,-7.3958256191975105,6.911467307441014,6.678912574016021,8.071924398625427,29,36,80.55555555555556,100.0,65.9090909090909,81.81818181818181
ubfc,cpace/offline_ridge,cpace,primary,offline_ridge,paired_UBFC_device_HR,0,strict_common_all12,36,44,36,44,36,81.81818181818181,81.81818181818181,2.6162384780714123,3.199385746400011,-0.381068044767137,3.2216713798137966,-6.695543949202178,5.933407859667905,5.428912574016021,6.071924398625427,32,36,88.88888888888889,100.0,72.72727272727273,81.81818181818181
ubfc,cpace/offline_ridge,cpace,primary,offline_ridge,paired_UBFC_device_HR,0,strict_common_primary10,36,44,36,44,36,81.81818181818181,81.81818181818181,2.6162384780714123,3.199385746400011,-0.381068044767137,3.2216713798137966,-6.695543949202178,5.933407859667905,5.428912574016021,6.071924398625427,32,36,88.88888888888889,100.0,72.72727272727273,81.81818181818181
