record_type,window_index,channel,patch_id,region,branch,method,status,observed_fraction,mean_quality,tracked_fraction,reset_fraction,representative,peak_bpm,peak_concentration,peak_fwhm_bpm,spectral_score,coefficient,polarity,medoid_channel
channel,2,baseline/left_cheek_1/pos,left_cheek_1,left_cheek,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5533333266671239,0.19,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_2/chrom,left_cheek_2,left_cheek,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5533333271450287,0.33,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_2/pos,left_cheek_2,left_cheek,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5533333271450287,0.33,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_3/chrom,left_cheek_3,left_cheek,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5533333277478283,0.2866666666666667,0.0033333333333333335,False,,,,,,,
channel,2,baseline/left_cheek_3/pos,left_cheek_3,left_cheek,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5533333277478283,0.2866666666666667,0.0033333333333333335,False,,,,,,,
channel,2,baseline/right_cheek_0/chrom,right_cheek_0,right_cheek,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5533333277393611,0.23,0.0033333333333333335,False,,,,,,,
channel,2,baseline/right_cheek_0/pos,right_cheek_0,right_cheek,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5533333277393611,0.23,0.0033333333333333335,False,,,,,,,
channel,2,baseline/right_cheek_1/chrom,right_cheek_1,right_cheek,baseline,chrom,nonfinite_bvp,0.18,0.17999999871087805,0.05333333333333334,0.023333333333333334,False,,,,,,,
channel,2,baseline/right_cheek_1/pos,right_cheek_1,right_cheek,baseline,pos,nonfinite_bvp,0.18,0.17999999871087805,0.05333333333333334,0.023333333333333334,False,,,,,,,
channel,2,baseline/right_cheek_2/chrom,right_cheek_2,right_cheek,baseline,chrom,nonfinite_bvp,0.5533333333333333,0.5533333287008103,0.35,0.0033333333333333335,False,,,,,,,
channel,2,baseline/right_cheek_2/pos,right_cheek_2,right_cheek,baseline,pos,nonfinite_bvp,0.5533333333333333,0.5533333287008103,0.35,0.0033333333333333335,False,,,,,,,
channel,2,baseline/right_cheek_3/chrom,right_cheek_3,right_cheek,baseline,chrom,nonfinite_bvp,0.39666666666666667,0.3940389417601143,0.14666666666666667,0.05,False,,,,,,,
channel,2,baseline/right_cheek_3/pos,right_cheek_3,right_cheek,baseline,pos,nonfinite_bvp,0.39666666666666667,0.3940389417601143,0.14666666666666667,0.05,False,,,,,,,
