branch,roi,segment_id,start_frame,stop_frame_exclusive,status,window,finite_samples,minimum_weight,maximum_weight
baseline,left_cheek,0,1440,1740,cdf_applied,True,300,0.0,0.438872532244209
baseline,left_cheek,0,1470,1770,cdf_applied,True,300,0.0,0.6306837074706071
baseline,left_cheek,0,1500,1800,cdf_applied,True,300,0.0,0.2894567276078059
baseline,left_cheek,0,1530,1830,cdf_applied,True,300,0.0,0.5779957999495363
baseline,left_cheek,0,1560,1860,cdf_applied,True,300,0.0,0.4826174094437181
baseline,right_cheek,0,0,300,cdf_applied,True,300,0.0,0.6084540353768056
baseline,right_cheek,0,30,330,cdf_applied,True,300,0.0,0.6421637128976212
baseline,right_cheek,0,60,360,cdf_applied,True,300,0.0,0.6396986416753784
baseline,right_cheek,0,90,390,cdf_applied,True,300,0.0,0.6278616834419983
baseline,right_cheek,0,120,420,cdf_applied,True,300,0.0,0.5468763233763404
baseline,right_cheek,0,150,450,cdf_applied,True,300,0.0,0.6387573721325148
baseline,right_cheek,0,180,480,cdf_applied,True,300,0.0,0.4085529901746464
baseline,right_cheek,0,210,510,cdf_applied,True,300,0.0,0.42906354193200963
baseline,right_cheek,0,240,540,cdf_applied,True,300,0.0,0.7218609424584561
baseline,right_cheek,0,270,570,cdf_applied,True,300,0.0,0.43253346852583835
baseline,right_cheek,0,300,600,cdf_applied,True,300,0.0,0.4776487353693001
baseline,right_cheek,0,330,630,cdf_applied,True,300,0.0,0.6285027536970007
baseline,right_cheek,0,360,660,cdf_applied,True,300,0.0,0.17602590147985891
baseline,right_cheek,0,390,690,cdf_applied,True,300,0.0,0.12144024910000892
baseline,right_cheek,0,420,720,cdf_applied,True,300,0.0,0.16941914401490824
baseline,right_cheek,0,450,750,cdf_applied,True,300,0.0,0.1586151143835889
baseline,right_cheek,0,480,780,cdf_applied,True,300,0.0,0.5886305299262555
baseline,right_cheek,0,510,810,cdf_applied,True,300,0.0,0.17058215782078015
baseline,right_cheek,0,540,840,cdf_applied,True,300,0.0,0.2262301974633093
baseline,right_cheek,0,570,870,cdf_applied,True,300,0.0,0.33704051808678215
baseline,right_cheek,0,600,900,cdf_applied,True,300,0.0,0.2886342443415832
baseline,right_cheek,0,630,930,cdf_applied,True,300,0.0,0.4737030411851312
baseline,right_cheek,0,660,960,cdf_applied,True,300,0.0,0.6747349719559437
baseline,right_cheek,0,690,990,cdf_applied,True,300,0.0,0.7235347187216193
baseline,right_cheek,0,720,1020,cdf_applied,True,300,0.0,0.5663426548000705
baseline,right_cheek,0,750,1050,cdf_applied,True,300,0.0,0.8873857065682247
baseline,right_cheek,0,780,1080,cdf_applied,True,300,0.0,0.51771581719438
baseline,right_cheek,0,810,1110,cdf_applied,True,300,0.0,0.5491474330088297
baseline,right_cheek,0,840,1140,cdf_applied,True,300,0.0,0.5109557889689785
baseline,right_cheek,0,870,1170,cdf_applied,True,300,0.0,0.8582525476132293
baseline,right_cheek,0,900,1200,cdf_applied,True,300,0.0,0.9433757668591434
baseline,right_cheek,0,930,1230,cdf_applied,True,300,0.0,0.719960782081155
baseline,right_cheek,0,960,1260,cdf_applied,True,300,0.0,0.6260534617016169
baseline,right_cheek,0,990,1290,cdf_applied,True,300,0.0,0.5693033447639685
baseline,right_cheek,0,1020,1320,cdf_applied,True,300,0.0,0.711215776018542
baseline,right_cheek,0,1050,1350,cdf_applied,True,300,0.0,0.7353231797118172
baseline,right_cheek,0,1080,1380,cdf_applied,True,300,0.0,0.7255704007048106
baseline,right_cheek,0,1110,1410,cdf_applied,True,300,0.0,0.4688190192339696
baseline,right_cheek,0,1140,1440,cdf_applied,True,300,0.0,0.685112109570011
baseline,right_cheek,0,1170,1470,cdf_applied,True,300,0.0,0.4451257139410474
baseline,right_cheek,0,1200,1500,cdf_applied,True,300,0.0,0.5890457985525915
baseline,right_cheek,0,1230,1530,cdf_applied,True,300,0.0,0.540344384364532
baseline,right_cheek,0,1260,1560,cdf_applied,True,300,0.0,0.6501690442293834
