window_index,time_s,window_start_s,window_end_s,accepted,ridge_bpm,raw_estimate_bpm,status,hr_source,aggregation_mode,eligible_patches,eligible_regions,contributing_patches,contributing_regions,waveform_generated,selected_channels_json,region_medians_json,estimate_near_contributor_peak,region_median_spread_bpm,selected_cluster_score
13,17.999982,12.999986999999999,22.999976999999998,True,89.0,89.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/left_cheek/chrom"", ""baseline/right_cheek/chrom""]","{""left_cheek"": 129.0, ""right_cheek"": 49.0}",False,80.0,0.05955841289193615
14,18.999981,13.999986,23.999976,True,47.5,47.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 48.0, ""right_cheek"": 47.0}",True,1.0,0.11366574582400125
15,19.99998,14.999984999999999,24.999975,True,46.5,46.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 47.0, ""right_cheek"": 46.0}",True,1.0,0.12571506281411027
16,20.999979,15.999984,25.999973999999998,True,46.0,46.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/pos"", ""baseline/right_cheek/chrom""]","{""forehead"": 47.0, ""right_cheek"": 45.0}",True,2.0,0.13029691493039727
17,21.999978,16.999983,26.999972999999997,True,78.5,78.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/left_cheek/pos"", ""baseline/right_cheek/pos""]","{""left_cheek"": 64.0, ""right_cheek"": 93.0}",False,29.0,0.0762875958904488
18,22.999976999999998,17.999982,27.999972,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
19,23.999976,18.999981,28.999971,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
20,24.999975,19.99998,29.999969999999998,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
21,25.999973999999998,20.999979,30.999969,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
22,26.999972999999997,21.999978,31.999968,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
23,27.999972,22.999976999999998,32.999967,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
24,28.999971,23.999976,33.999966,False,,,no_multiregion_psd_cluster,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,0,0,False,[],{},False,,
25,29.999969999999998,24.999975,34.999964999999996,True,100.5,100.5,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/chrom"", ""baseline/left_cheek/pos""]","{""forehead"": 100.0, ""left_cheek"": 101.0}",True,1.0,0.06498362092806857
26,30.999969,25.999973999999998,35.999964,True,80.0,80.0,accepted,spatial_aggregation_of_saved_patch_BVP,psd_cluster,3,3,2,2,True,"[""baseline/forehead/chrom"", ""baseline/left_cheek/chrom""]","{""forehead"": 99.0, ""left_cheek"": 61.0}",False,38.0,0.08911555899329143
