window_index,time_s,window_start_s,window_end_s,accepted,estimated_bpm,local_spectral_bpm,output_status,reference_bpm,reference_valid,reference_status,reference_samples,reference_max_gap_s,error_bpm,abs_error_bpm,reference_frequency_snr_db
38,42.999956999999995,37.999962,47.999952,True,58.0,96.0,candidate_only,106.5,True,ok,10,1.020106400000003,-48.5,48.5,-9.248261116794058
39,43.999956,38.999961,48.999950999999996,True,59.0,91.0,candidate_only,106.1,True,ok,10,1.0198725999999994,-47.099999999999994,47.099999999999994,-14.1390227484564
40,44.999955,39.99996,49.99995,True,61.0,91.0,candidate_only,105.6,True,ok,10,1.0496561,-44.599999999999994,44.599999999999994,-16.915821090079906
41,45.999953999999995,40.999959,50.999949,True,62.0,90.0,candidate_only,105.1,True,ok,10,1.0496561,-43.099999999999994,43.099999999999994,-16.952109406048564
42,46.999953,41.999958,51.999947999999996,True,63.0,64.0,candidate_only,104.4,True,ok,10,1.0496561,-41.400000000000006,41.400000000000006,-17.559527009216964
43,47.999952,42.999956999999995,52.999947,True,63.0,64.0,candidate_only,103.6,True,ok,10,1.0496561,-40.599999999999994,40.599999999999994,-14.440615155560794
44,48.999950999999996,43.999956,53.999945999999994,True,62.0,94.0,candidate_only,102.6,True,ok,10,1.0496561,-40.599999999999994,40.599999999999994,-10.731072810327309
45,49.99995,44.999955,54.999945,True,60.0,95.0,candidate_only,101.5,True,ok,10,1.0496561,-41.5,41.5,-9.133148224977663
46,50.999949,45.999953999999995,55.999944,True,58.0,55.0,candidate_only,100.2,True,ok,10,1.0496561,-42.2,42.2,-8.197168970708994
47,51.999947999999996,46.999953,56.999942999999995,True,57.0,55.0,candidate_only,98.9,True,ok,10,1.0496561,-41.900000000000006,41.900000000000006,-8.108267082898099
48,52.999947,47.999952,57.999942,True,57.0,55.0,candidate_only,97.8,True,ok,10,1.0496561,-40.8,40.8,-8.182478449523122
49,53.999945999999994,48.999950999999996,58.999941,True,58.0,102.0,candidate_only,96.8,True,ok,10,1.049587300000006,-38.8,38.8,-7.580554809676842
50,54.999945,49.99995,59.999939999999995,True,61.0,102.0,candidate_only,96.0,True,ok,10,1.049587300000006,-35.0,35.0,-6.2488555366193275
51,55.999944,50.999949,60.999939,True,64.0,101.0,candidate_only,95.4,True,ok,10,1.049587300000006,-31.400000000000006,31.400000000000006,-5.412284054630909
52,56.999942999999995,51.999947999999996,61.999938,True,66.0,99.0,candidate_only,95.2,True,ok,10,1.049587300000006,-29.200000000000003,29.200000000000003,-4.942720632104026
53,57.999942,52.999947,62.999936999999996,True,67.0,96.0,candidate_only,95.3,True,ok,10,1.049587300000006,-28.299999999999997,28.299999999999997,-4.848238135564917
54,58.999941,53.999945999999994,63.999936,True,67.0,94.0,candidate_only,95.7,True,ok,10,1.049587300000006,-28.700000000000003,28.700000000000003,-4.892370364795164
55,59.999939999999995,54.999945,64.999935,True,68.0,92.0,candidate_only,96.1,True,ok,10,1.0796065999999982,-28.099999999999994,28.099999999999994,-4.274755001985896
56,60.999939,55.999944,65.999934,True,69.0,91.0,candidate_only,96.6,True,ok,10,1.0796065999999982,-27.599999999999994,27.599999999999994,-3.669461236793228
57,61.999938,56.999942999999995,66.999933,True,70.0,90.0,candidate_only,97.0,True,ok,10,1.0796065999999982,-27.0,27.0,-4.078531583847559
58,62.999936999999996,57.999942,67.999932,True,70.0,89.0,candidate_only,97.2,True,ok,10,1.0796065999999982,-27.200000000000003,27.200000000000003,-6.063694073762763
59,63.999936,58.999941,68.99993099999999,True,69.0,88.0,candidate_only,97.3,True,ok,10,1.0796065999999982,-28.299999999999997,28.299999999999997,-9.858401478127297
60,64.999935,59.999939999999995,69.99992999999999,True,67.0,48.0,candidate_only,97.3,True,ok,10,1.0796065999999982,-30.299999999999997,30.299999999999997,-14.557614268308537
61,65.999934,60.999939,70.999929,True,65.0,50.0,candidate_only,97.2,True,ok,10,1.0796065999999982,-32.2,32.2,-16.331128472163936
62,66.999933,61.999938,71.999928,True,64.0,50.0,candidate_only,97.0,True,ok,10,1.0796065999999982,-33.0,33.0,-14.36954391675622
63,67.999932,62.999936999999996,72.999927,False,,,gap_or_filter_edge,96.7,True,ok,10,1.0796065999999982,,,
64,68.99993099999999,63.999936,73.999926,False,,,gap_or_filter_edge,96.4,True,ok,10,1.0200394000000017,,,
